asset_id,asset,type,source_or_owner,licence,version,needed_for,status,notes
SW-001,Minecraft Java Edition,game,Mojang Studios,Proprietary,1.20.1 current user profile,Base production and world generation,user_reported_present,Profile exists; exact Java/Fabric Loader and successful integrated launch are not retained evidence.
SW-002,Fabric Loader,mod_loader,FabricMC,Apache-2.0 recorded in supplied context,Unpinned,Loading the candidate mod stack,dependency_pending,Pin only after official exact dependency review.
DEP-001,Fabric API,library,FabricMC,Apache-2.0 recorded in supplied context,0.92.11+1.20.1,Candidate Fabric dependencies,user_reported_present,Exact filename supplied; hash and integrated behaviour remain unverified.
DEP-002,iCommon API,library,Isaiah,LGPL-3.0 AND Unlicense recorded in supplied context,Unpinned,Historical Multiworld alternative only,not_required,Multiworld is not selected and iCommon is not present in the supplied profile.
DEP-003,GeckoLib,library,Official source not yet recorded,Not recorded,Unpinned,CinematicTools dependency if selected,dependency_pending,Do not add unless CinematicTools wins CAM-001.
DEP-004,CreativeCore,library,Official source not yet recorded,Not recorded,Unpinned,CinematicTools dependency if selected,dependency_pending,Do not add unless CinematicTools wins CAM-001.
MOD-001,Immersive Portals,mod,qouteall official release SRC-012,Apache-2.0,5.2.0,See-through portals and exact destination prototype,user_reported_present,"Exact enabled filename supplied; dimension transfer, portal routing and replay remain untested."
MOD-002,Multiworld,mod,"Isaiah official sources SRC-005, SRC-006 and SRC-013",LGPL-3.0-or-later,1.12 beta,Historical alternative only,not_selected,Not present in supplied profile; replaced by duplicated working saves plus custom dimensions.
MOD-003,Dimensional Weather,mod,crafter312 official sources SRC-007 and SRC-008,MIT,1.1-1.20.1,Independent R0/R1 weather,user_reported_present,Exact enabled filename supplied; portal/custom-dimension weather remains unverified.
MOD-004,Dimension Level Data,mod,Official release SRC-014,Not recorded from supplied evidence,0.1.0-1.20.1,Alternative independent dimension time/weather,conditional_candidate,Use only for a documented gap after MOD-003.
MOD-005,Carpet,mod,gnembon official release SRC-018,MIT,1.4.112,Scarpet/tick control after datapack limits,conditional_candidate,No actor or compatibility result exists.
MOD-006,Axiom,mod,Official release SRC-019,Not recorded from supplied evidence,5.2.1,Build variants and manual repair,conditional_candidate,Never replaces protected master and milestone copies.
TOOL-001,Replay Mod,production_tool,Official project SRC-015 and SRC-016,Not recorded,2.6.23 for 1.20.1,Replay and cinematic camera comparison,user_reported_present,First camera route; cross-dimensional recording still requires CAM-001.
TOOL-002,CinematicTools,production_tool,Official release SRC-017,Not recorded,1.2.0+1.20.1,Camera/actor comparison,research_candidate,Dependencies unpinned; integration untested.
TOOL-003,Recording toolchain,production_tool,Not selected,Not recorded,Not selected,Picture and guide-audio capture,selection_pending,"No OBS or other exact version, codec or result is claimed."
TOOL-004,Editing and compositing toolchain,production_tool,Not selected,Not recorded,Not selected,"Portal composites, VFX, sound and assembly",selection_pending,No editor or plug-in is approved.
TOOL-005,Blender fallback,production_tool,Official source not yet reviewed,Not recorded,Not selected,"Greybox, camera match, portal card and Scene 13 layers",selection_pending,Workflow category only; no installation or success claimed.
MOD-007,Sodium,performance_mod,Official exact release not yet recorded,Not recorded,0.5.13+mc1.20.1,Optional performance comparison,user_reported_present,Test after minimum no-shader portal/transfer baseline.
MOD-008,Iris and shader path,shader_tool,Official exact release not yet recorded,Not recorded,Iris 1.7.6+mc1.20.1,Optional visual rendering,user_reported_present_optional,Shader loader is present; no shader is approved by this record.
DP-001,tpnm_take datapack,original_automation,Luan planned,Authorship record pending creation,Not created,"Setup, arm, action, reset and cleanup",not_created,No function or test result exists.
CTRL-001,Take markers and scoreboard specification,production_control,Luan planned,Owned after creation,Design only,"Actor, camera, prop and cue marks",planned,Local design coordinates are not Minecraft world coordinates.
STRUCT-001,Reset structures and region-state pack,world_control,Luan planned,Owned after creation,Not created,Non-destructive set restoration,not_created,Destructive sets prefer verified world/region copies.
WORLD-000,Approved R0 source backup,world_asset,Luan,Owned,Minecraft 1.20.1; seed/world unselected,Canonical assembled geography for R0-R4,not_created,"Scout first; adapt the chosen location into R0, complete imports and pregeneration, then preserve this source before duplication."
WORLD-R0,R0 working save and milestone states,world_asset,Luan,Owned,Direct working copy of WORLD-000,"Fresh arrival, starter progression and MATCH FRAME A",not_created,Selected scouted/adapted world; protect fresh and established-pair milestones.
WORLD-R1,R1 Rain Echo,world_asset,Luan,Owned,Direct duplicate of WORLD-000,"Rain, waterfall, dense vegetation and first marker",not_created,"Edit independently, then transfer production terrain to mns:r1_rain."
WORLD-R2,R2 Ash Echo,world_asset,Luan,Owned,Direct duplicate of WORLD-000,"Scorched shelf, ash and L marker",not_created,"Edit independently, then transfer production terrain to mns:r2_ash."
WORLD-R3,R3 Archive Echo,world_asset,Luan,Owned,Direct duplicate of WORLD-000,"Archive recess, Atlas and failing mouth",not_created,"Edit independently, then transfer compact archive terrain to mns:r3_archive."
WORLD-R4,R4 Home Echo milestone set,world_asset,Luan,Owned,Direct duplicate of WORLD-000,"Arrival, home, fire, search, final chamber and aftermath",not_created,R4 = R0 + Home + minor seasonal/state differences; maintain independent destructive milestones.
CHAR-001,Protagonist continuity kit,character_asset,Source or owner not yet recorded,Publication rights not verified,Design not locked,R0 early through R4 final equipment states,rights_pending,Record skin provenance before hero capture.
CHAR-002,Moss continuity profiles,in_game_character,Minecraft entity under SW-001,Publication-rights review not recorded,Wild; tamed unnamed; named,Scenes 2–13,planned,"Track owner, collar, name, health, sit/follow and position."
CHAR-003,Skeleton action profile,in_game_character,Minecraft entity under SW-001,Publication-rights review not recorded,1.20.1 candidate,Scene 2 threat and bones cause,planned,Controlled plates; natural targeting not required.
CHAR-004,Creeper continuity profile,in_game_character,Minecraft entity under SW-001,Publication-rights review not recorded,1.20.1 candidate,Scene 11 route and Scene 12 interruption,planned,"Route, damage and aftermath untested."
PROP-001,Clean survey journal pages,original_graphic,Luan planned,Authorship record pending creation,Not created,"Symbols, coordinates, markers and ECHOES",not_created,"Stitched corner, ravine symbol and arrow-shaped seven."
PROP-002,Weeping Atlas pages,original_graphic,Luan planned,Authorship record pending creation,Not created,Seven Script-approved inserts,not_created,No superseded direct-discharge wording.
PROP-003,Material ledger,original_graphic,Luan planned,Authorship record pending creation,Not created,Scenes 8–10 supply continuity,not_created,Counts and two final entries must be readable.
PROP-004,MOSS name-tag chain,in_game_prop_set,Minecraft plus planned capture,Publication-rights review not recorded,1.20.1 candidate,"Fishing, anvil and naming cause",planned,No recorded catch or probability result.
SET-001,Moss-green rug and hearth state kit,set_asset,Luan planned,Authorship record pending creation,Not created,"Domestic montage, fire origin and burned continuity",not_created,"Bare, growing, final, burning and absent states."
SET-002,"Crying-frame, anchor and baffle kit",set_asset,Luan planned,Authorship record pending creation,Not created,Portal states and final chamber,not_created,"Include asymmetry, ledge and protagonist-free aftermath."
SET-003,MATCH PATH ridge kit,set_asset,Luan planned,Authorship record pending creation,Not created,"Scenes 1, 2 and 10",not_created,R0 morning and R4 fire-night dressing around one camera.
SET-004,Granite seam and portal-foot reference kit,continuity_asset,Luan planned,Authorship record pending creation,Not created,R0–R4 geography and marker absences,not_created,Measurements recorded only after build.
SET-005,Scene 13 vertical modules,set_asset,Luan planned,Authorship record pending creation,Not created,Audience-only ascent,not_created,"Stone, granite, soil and surface modules."
AUDIO-001,Narration master,audio,Luan planned,Authorship and performer record pending,Not recorded,Third-person narration and exact Scene 2/13 reuse,not_recorded,No narration file exists.
AUDIO-002,Moss gate bark master,audio_element,No recording exists,Source and rights not recorded,Not recorded,Scene 9 source and Scene 12 memory reuse,not_recorded,Must be one future performance placed twice.
AUDIO-003,Ambience and foley library,audio,Source not selected,Source and licence not recorded,Not selected,"Wind, rain, fire, work, steps, paws and room tone",rights_pending,Use original or verified licensed sources.
MUSIC-001,Restrained score elements,music,Source not selected,Source and licence not recorded,Not selected,Limited montage and dramatic support,rights_pending,No music in Scene 1 or after Scene 12 death.
VFX-001,Echo portal treatment,vfx_asset,Luan planned,Authorship record pending,Not created,"Destination views, particles, failure and topology",not_created,Live rendering conditional on tests.
VFX-002,"Fire, smoke, blast and delayed activation treatment",vfx_asset,Luan planned,Authorship/source records pending,Not created,"Scenes 1, 9, 10 and 12",not_created,Every third-party element requires provenance.
GFX-001,"Title, journal, Atlas and ledger graphics",graphic_asset,Luan planned,Font and authorship rights not recorded,Not created,Readable story information,rights_pending,Verify font rights and delivery-size legibility.
STB-001,Text-first storyboard pack,planning_asset,Luan planned,Owned after approval,49 planned panels; no images,All thirteen scenes,planned,CSV and Markdown descriptions only.
STB-002,Later graphite-and-ink consistency test,image_test,Model and source screenshots not yet used,Terms and provenance not yet recorded,Not run,Five reference-driven storyboard transformations,not_started,No generation is authorised by this plan.
TOOL-006,MCA Selector,external_world_tool,Querz official repository SRC-028,MIT,Exact release not selected,Selective ravine/terrain imports and production-chunk transfer,research_candidate,Use only on verified backups; zero offsets for R0-derived realities.
TOOL-007,WorldEdit,in_game_world_tool,EngineHub official release SRC-031,GPL-3.0-or-later,7.2.15 candidate for 1.20/1.20.1,"Terrain blending, brushes, copy/paste and shared schematics",recommended_not_installed,Install only if R0 adaptation needs it; compare with existing tools one at a time.
MOD-009,Chunky,world_pregeneration,pop4959 official docs SRC-030,Not re-recorded,1.3.146,Pregenerate R0 camera footprint before duplication,user_reported_present,Production centre/radius selected only after R0 and shot corridors exist.
MOD-010,Tectonic,world_generation,User-reported installed artefact,Not recorded,3.0.17,Seed/location scouting and base terrain,user_reported_present,Freeze exact config before final R0 generation; do not depend on unseen custom-dimension generation.
MOD-011,WWOO,world_generation,User-reported installed artefact,Not recorded,2.0.0,Seed/location scouting and biome/world character,user_reported_present,Freeze exact config before final R0 generation.
MOD-012,Fabric Seasons plus Extras,season_system,User-reported installed artefacts,Not recorded,2.4.2 BETA + 1.3.2 BETA,Optional minor R4/R0 seasonal difference,user_reported_present_optional,"Test persistence, portal view and Replay; local dressing is the fallback."
WORLD-FINAL,TPNM filming master,world_asset,Luan,Owned,Derived from WORLD-R0 with R1-R4 custom dimensions,Final portal assembly and recording,not_created,Transfer terrain and validate reload before staging important actors or creating portal entities.
WORKFLOW-001,R0-first seed scouting and dimension-consolidation workflow,production_workflow,Luan production decision,Owned planning record,18 July 2026,World authoring and final assembly,approved_method_unverified_execution,R0 is the selected/adapted location; imported geography is allowed; R4 remains closest to R0.
