location_id,name,story_function,hero_angle,modular_elements,lighting_state,completion,notes
LOC-001,MATCH PATH ridge and homestead approach,Joins the R4 emergency to the lone R0 arrival and resumes the run in Scene 10,MP-C locked view along path towards homestead,Ridge path; cargo mark; distant homestead shell; smoke/fire layers; untouched R0 dressing,R0 morning and R4 fire-night,not_started,"Use inherited R0 ridge/path geography; one numerical camera, FOV, path centreline and travel direction; test CONT-001."
LOC-002,R0 clearing and overlook,"Earns the chosen home, survival chain and established pair before mining",Wide water/birch overlook plus MF-A ravine-lip frame,Fresh clearing; shelter stages; crops; cow pen; fishing bank; anvil area; Moss marks,"Morning, several Minecraft days, rain and MATCH FRAME A morning",not_started,"This is the selected scouted/adapted R0, not a hand-built neutral world. Preserve wild, tamed-unnamed and named milestones."
LOC-003,R0 shared ravine and granite-seam corridor,Provides the shared coordinate and ordinary mining route across every echo,Consistent seam profile with exposed iron visibly continuing around the turn,Water descent; safe ledges; forked seam; iron vein; portal chamber; surface column,Neutral master reference,not_started,"May be natural or imported into R0. Approve, blend, pregenerate and protect before duplication; coordinates unselected."
LOC-004,R1 Rain Echo,Confirms the visible rainy destination while disproving the surface-home assumption,"Matched seam arrival, portal parallax axis and empty surface footprint",Waterfall; roof opening; dense growth; wet floor; single left-foot marker,Fixed rainy day,not_started,Direct R0 duplicate transferred into mns:r1_rain; physical dressing carries the distinction; test POC-002/004.
LOC-005,R2 Ash Echo,Turns failed return into deliberate marker testing,Exact frame-foot insert plus scorched surface geography,Ash layer; scorched tree line; exposed shelf; bare arrival foot; L marker and outer torch,Dry overcast late day,not_started,Direct R0 duplicate; keep shared silhouette and capture marker states before final transfer.
LOC-006,R3 Archive Echo,Makes the older journal personal and forces the final uncontrolled crossing,Compact desk/recess axis with portal and gravel stair in one wide,Desk; protected drawer; familiar torch side; storage; ravine symbol; gravel states,Dusk with readable inserts,not_started,Direct R0 duplicate with compact archive insert; only seven Script-approved Atlas instructions.
LOC-007,R4 fresh surface and first shelter,Replaces travel with immediate shelter need,Wide line connecting dead-mouth surface marker to first roof,Clean water; timber; surface marker; first-roof modules; untouched approach,Morning to first night,not_started,Fresh direct R0 duplicate. Preserve inherited geography before adding the first roof.
LOC-008,"R4 homestead, shared room and search routes","Builds home, supplies the fire cause and presents unresolved absence",Locked domestic HR-C frame and breached shortest-wall hero angle,House milestones; stone hearth; rug states; timber route; removable wall; crops; ridge; hollow,"Seasonal passage, departure day, fire night and search dawn",not_started,"R4 = R0 + Home + minor seasonal/state differences. Separate lived, pre-fire, burning and burned copies; test MEC-004 and EDIT-002."
LOC-009,R4 conventional portal approach,Establishes repeatable supply routine and Scene 1 return direction,Medium two-shot from gate towards rug return line,Ordinary obsidian portal; small shelter edge; feed mark; sit-return path,Day departure and night return direction,not_started,Visual and audio language distinct from echo frames.
LOC-010,R4 final frame chamber and creeper ledge,Answers the portal mystery and stages fatal interruption,"FC-B wide showing frame, baffle, hero, landing space and dark ledge",Incomplete/complete frame states; charged-anchor appearance; baffle; ledge; landing mark; protected journals; aftermath,Day-to-night and smoky post-blast night,not_started,Sacrificial copies only; connected route required by MEC-005 and CONT-003.
LOC-011,Scene 13 vertical transition modules,Links the active frame to MATCH FRAME A as omniscient presentation,"Fixed upward environmental axis through seam, stone, soil and surface",Portal edge; granite module; stone layers; soil/root layer; surface opening,Mine darkness into exact R0 morning,not_started,May be Blender or in-game modules; never protagonist viewpoint.
