source_id,claim,url,publisher,published_date,accessed_date,source_type,reliability,status,notes
SRC-001,"In a single-past model, a time traveller cannot make the past different but may participate in the events that made it so.",https://plato.stanford.edu/entries/time-travel/index.html,"Metaphysics Research Lab, Stanford University",2024-03-22,2026-07-15,specialist_reference,B,retained_context,Direction-era conceptual source; draft-03 instead uses stable echo realities. Not implementation evidence.
SRC-002,The proposed self-consistency principle requires local events in a closed-timelike-curve model to fit a globally consistent solution.,https://authors.library.caltech.edu/records/aw0a8-ps286,Physical Review D / American Physical Society,1990-09-15,2026-07-15,primary_research,A,retained_context,Conditional theoretical physics paper. It does not support the draft-03 echo mechanism or practical time travel.
SRC-003,Immersive Portals provides see-through seamless portals and portals connecting dimensions.,https://modrinth.com/project/zJpHMkdD,qouteall / Modrinth,,2026-07-16,official_project_page,A,supported,Apache-2.0 recorded in supplied research. Establishes individual capability only.
SRC-004,Immersive Portals documents a portal-destination command accepting dimension and exact position; connected portal entities can be removed for one-way configurations.,https://qouteall.fun/immptl/wiki/Commands-Reference.html,Immersive Portals official wiki,,2026-07-16,official_documentation,A,supported,Command syntax and behaviour still require verification against the exact selected release.
SRC-005,Multiworld documents creating worlds with generator and seed arguments and teleporting or routing portals to worlds and positions.,https://github.com/IsaiahMC/multiworld,IsaiahMC,,2026-07-16,official_repository,A,supported,LGPL-3.0 recorded in supplied research. Does not prove interoperability with Immersive Portals.
SRC-006,Multiworld 1.12 is a beta Fabric release listing Minecraft 1.20.1 compatibility.,https://modrinth.com/mod/multiworld/version/NfNQTHy9,Isaiah / Modrinth,2025-12-21,2026-07-16,official_release_page,A,supported,Documented individual version support only; iCommon API pin and integrated behaviour remain unresolved.
SRC-007,Dimensional Weather is intended to permit dimension-specific vanilla weather rather than sharing the Overworld weather state.,https://modrinth.com/project/Z8Eq3K2Z,crafter312 / Modrinth,,2026-07-16,official_project_page,A,supported,MIT recorded in supplied research. Portal-view rendering is outside this claim.
SRC-008,Dimensional Weather 1.1-1.20.1 lists Fabric/Quilt Minecraft 1.20.1 support and Fabric API 0.92.2+1.20.1 as a requirement.,https://modrinth.com/mod/dimensional-weather/version/1.1-1.20.1,crafter312 / Modrinth,2024-06-20,2026-07-16,official_release_page,A,supported,Exact Fabric API artefact must still be pinned; simultaneous use with other candidates is untested.
SRC-009,Minecraft Help describes copying a Java Edition seed to create a new world from the same base map.,https://help.minecraft.net/hc/en-us/articles/34467817926925-How-to-Find-Your-World-Seed-in-a-Minecraft-Java-Edition-Realm,Mojang Studios / Minecraft Help,,2026-07-16,official_documentation,A,supported,"Same version, generator and generation-affecting configuration remain necessary production controls."
SRC-010,Mojang describes seeds as numbers used to generate a world reliably when reused.,https://www.minecraft.net/es-es/article/speedrunning-minecraft,Mojang Studios,2018-02-17,2026-07-16,official_article,A,supported,Used only for the common-base principle; exact shot continuity still requires a protected master copy.
SRC-011,Immersive Portals 5.2.0 is listed for Minecraft 1.20.1 Fabric and the release notes mention updated Sodium and Iris compatibility.,https://www.curseforge.com/minecraft/mc-mods/immersive-portals-mod/files/7247098,qouteall / CurseForge,2025-11-21,2026-07-16,official_release_page,A,supported,Apache-2.0 recorded. No exact Sodium or Iris versions are established and the production stack remains untested.
SRC-012,Immersive Portals 5.2.0 is an exact Fabric 1.20.1 candidate release.,https://modrinth.com/mod/immersiveportals/version/5.2.0,qouteall / Modrinth,,2026-07-17,official_release_page,A,supported,Central provisional portal candidate. Exact downloaded artefact and hash do not exist in evidence.
SRC-013,The Multiworld project page lists Minecraft 1.20.1 as active and describes multiple-world functionality.,https://modrinth.com/project/fgvoNDL1,Isaiah / Modrinth,,2026-07-17,official_project_page,A,supported,Use with SRC-005 and SRC-006. Registration as an Immersive Portals destination remains a proof-of-concept question.
SRC-014,Dimension Level Data 0.1.0-1.20.1 is a candidate for storing time and weather separately by dimension.,https://modrinth.com/mod/dimension-level-data/version/c2yUFutK,official project publisher shown on Modrinth,,2026-07-17,official_release_page,A,supported_with_boundary,"Exact licence and dependencies were not supplied. Test as an alternative, not automatically alongside Dimensional Weather."
SRC-015,Replay Mod provides session replay and cinematic camera functionality.,https://www.replaymod.com/,Replay Mod project,,2026-07-17,official_project_page,A,supported_with_boundary,"Exact Minecraft 1.20.1 build, licence and portal-stack intersection are not supplied."
SRC-016,"Replay Mod maintains official user documentation for recording, replay and camera workflows.",https://www.replaymod.com/docs/,Replay Mod project,,2026-07-17,official_documentation,A,supported_with_boundary,Capability source only; no capture test or exact artefact is recorded.
SRC-017,"CinematicTools 1.2.0+1.20.1 is a Minecraft 1.20.1 Fabric candidate whose release lists Fabric API, GeckoLib and CreativeCore dependencies.",https://modrinth.com/mod/cinematictools/version/1.2.0%2B1.20.1,CinematicTools publisher / Modrinth,,2026-07-17,official_release_page,A,supported,Exact dependency versions and licence were not supplied. Compare with Replay Mod rather than assuming both are required.
SRC-018,Carpet 1.4.112 lists Minecraft 1.20 and 1.20.1 Fabric support and supplies technical control and Scarpet scripting.,https://modrinth.com/mod/carpet/version/1.4.112,gnembon / Modrinth,,2026-07-17,official_release_page,A,supported,MIT recorded in supplied research. Specific actor and tick behaviours remain test tasks.
SRC-019,Axiom 5.2.1 lists Minecraft 1.20–1.20.1 Fabric support as a world-editing candidate.,https://modrinth.com/mod/axiom/version/5.2.1,Axiom project / Modrinth,,2026-07-17,official_release_page,A,supported_with_boundary,Licence was not supplied. It does not replace verified master-world backups.
SRC-020,"The supplied official OpenAI release summary describes ChatGPT Images 2.0 as improving instruction following, editing, style handling and multi-scene continuity.",https://openai.com/index/introducing-chatgpt-images-2-0/,OpenAI,,2026-07-17,official_product_announcement,A,supported_with_boundary,Basis for a later five-panel comparison only. No image was generated and no geometry-preservation test was run.
SRC-021,FLUX.2 official documentation describes multi-reference image editing and controls for composition and pose.,https://docs.bfl.ai/flux_2/flux2_image_editing,Black Forest Labs,,2026-07-17,official_documentation,A,supported_with_boundary,Comparison candidate for reference-heavy storyboard transformation; no project test has occurred.
SRC-022,Midjourney documents Omni Reference for maintaining referenced subjects or objects.,https://docs.midjourney.com/hc/en-us/articles/36285124473997-Omni-Reference,Midjourney,,2026-07-17,official_documentation,A,supported_with_boundary,"Useful comparison evidence, not proof of camera-faithful storyboard conversion."
SRC-023,Midjourney documents Style Reference for carrying visual style between generations.,https://docs.midjourney.com/hc/en-us/articles/32180011136653-Style-Reference,Midjourney,,2026-07-17,official_documentation,A,supported_with_boundary,Style control does not by itself establish composition or location consistency.
SRC-024,"No exact Minecraft 1.21.1 release intersection for the portal, world, weather, actor, editor and camera candidates is present in the supplied source set.",,Production evidence review,2026-07-17,2026-07-17,evidence_gap_record,A,unresolved,"This is a record of missing evidence, not a claim that compatible 1.21.1 releases do not exist. Exact official release pages must be researched before comparison."
SRC-025,"No supplied source pins an exact Fabric Loader, complete Fabric API, iCommon API, GeckoLib or CreativeCore dependency chain for the proposed integrated profile.",,Production evidence review,2026-07-17,2026-07-17,evidence_gap_record,A,superseded,"The selected R0-first custom-dimension workflow no longer requires iCommon, GeckoLib or CreativeCore. Record Java, Fabric Loader, Fabric API and hashes for the current proof; resolve optional-tool dependencies only when that tool is selected."
SRC-026,"No supplied primary-source record establishes exact OBS or other recording software, Blender, Sodium, Iris, codec or driver versions for this production.",,Production evidence review,2026-07-17,2026-07-17,evidence_gap_record,A,unresolved,These remain selectable test categories rather than researched exact components.
