beat_id,sequence_id,order,actor_id,attempt,interference,change,next_cause,purpose,reveal,visual,audio,estimated_seconds,dependency
"BEAT-01","SQ-01","1","PROTAGONIST","Reach Moss through a burning cabin.","Separated fire blocks cut across the direct route while Moss remains seated.","He ignores storage, sends water towards the wolf and reaches forward before the film cuts.","CE-07","Open with danger, relationship priority and an honestly withheld outcome.","The protagonist is already too late for an event whose cause is still unknown.","Water passes a burning chest; Moss appears beyond flame for one instant.","Fire, breaking blocks and one distressed wolf sound overtake a short narration line.","35","SC-01"
"BEAT-02","SQ-01","2","PROTAGONIST","Cross an unvisited ravine before night and understand the burned construction.","A player-built stone shell and descending stair contradict the map edge and private-world history.","He follows the surviving geometry towards purple light rather than leaving.","CE-01","Ground the title mystery in persistent environment rather than a person.","The ruin has practical construction logic but no available builder.","L-shaped foundation, granite notch, stone chest recess and missing timber align above the ravine.","Wind and footsteps yield gradually to a portal hum.","80","SC-02"
"BEAT-03","SQ-01","3","PROTAGONIST","Inspect the active frame without committing to it.","Blast damage, exposed lava and a plank remnant explain activation conditions but not authorship or destination.","No ordinary explanation survives, so he chooses to enter.","CE-02","Honour the portal promise through protagonist agency.","The frame is complete and active beside a recent physical event.","Hand traces the cobblestone foot before crossing the portal plane.","Portal ambience replaces restrained narration at the decision.","65","SC-03"
"BEAT-04","SQ-02","4","PROTAGONIST","Determine whether he reached another location or an earlier state.","The portal vanishes behind him and every player block is absent.","Matching natural landmarks prove the pristine ravine is the same place.","CE-03","Establish temporal displacement through geography.","He stands before the construction he already saw destroyed.","Bare north wall, intact granite seam and untouched west shelf repeat opening angles.","Transition noise falls into ordinary cave and evening ambience.","70","SC-04"
"BEAT-05","SQ-02","5","PROTAGONIST","Survive the first night and deal with a nearby wolf after a skeleton fight.","The skeleton creates danger before leaving only a small number of bones.","The final taming attempt succeeds and Moss follows him to the shelter.","CE-04","Begin rapport through normal survival causality.","The companion central to the cold open enters through earned gameplay.","Skeleton drops bones; taming hearts appear; Moss crosses the threshold behind him.","Combat gives way to the wolf’s ordinary panting and a restrained note of relief.","90","SC-05"
"BEAT-06","SQ-02","6","PROTAGONIST","Turn the shelter into a workable home while continuing ravine mining.","Moss gets into build spaces, needs feeding after damage and cannot safely follow near lava.","A repeated sit-before-mining and release-on-return routine becomes natural between them.","CE-04","Make the relationship lived, specific and mechanically consequential.","The bedside sit state is a safety habit rather than confinement.","Moss blocks a stair placement, follows on timber runs and waits beside the bed at dusk.","Tool rhythm, door sounds and feeding replace heavy exposition.","100","SC-05"
"BEAT-07","SQ-03","7","PROTAGONIST","Finish the cabin foundation around the terrain.","The granite notch, chest recess and stair rib reproduce details he saw in the ruin.","A matched overlook confirms that he is building the burned cabin.","CE-05","Turn environmental familiarity into future recognition.","The opening ruin belongs to the life he is making with Moss.","Past and ruin compositions align on the L-shaped foundation.","Construction sounds stop as remembered opening ambience returns briefly.","80","SC-06"
"BEAT-08","SQ-03","8","PROTAGONIST","Remove Moss and himself from the threatened future.","Night travel is unsafe and the lava shelf beneath the timber route remains the clearest hazard.","He plans departure at dawn, stone-clads the stair and chooses to neutralise the lava first.","CE-05","Give him a credible, active prevention strategy.","He does not accept the ruin or wait passively for it.","Packed supplies sit by the door while stone replaces exposed stair sections.","Measured narration lays out the plan over real inventory and block actions.","80","SC-07"
"BEAT-09","SQ-03","9","PROTAGONIST","Cool the lava, collect return-frame material and keep Moss away from the mine.","One stripped-spruce support remains continuous behind the new stone facing.","He seats Moss beside the bed and mines the last visible obsidian block under running water.","CE-06","Join the relationship routine, prevention plan and fire geometry.","The apparent firebreak is incomplete in a way the opening ruin fairly showed.","Camera traces stone cladding while briefly revealing the concealed log seam.","Water and pickaxe rhythm mask the first distant fire crackle.","90","SC-08"
"BEAT-10","SQ-04","10","PROTAGONIST","Contain the newly exposed side flow before it reaches the stair.","Water cools the visible face while lava escapes laterally behind the cladding.","The hidden support ignites and carries fire above him.","CE-06","Make prevention the ordinary physical cause of the disaster.","No portal force or unseen person starts the fire.","Lava disappears behind stone; fire appears along the upper timber route.","Water hiss gives way to overhead crackle and Moss’s distant distress.","90","SC-08"
