file_name,enabled_state,category,version_from_filename,evidence_status,production_note
Chunky-1.3.146.jar,enabled,world_pregeneration,1.3.146,user_reported_present,Pregenerate the complete camera-visible R0 footprint and buffer before duplication.
cloth-config-11.1.136-fabric.jar,enabled,library,11.1.136,user_reported_present,Dependency/configuration library.
cosmetica-fabric-2.0.1-1.20.1.jar,enabled,cosmetics,2.0.1,user_reported_present,Visual/cosmetic layer; not required for world transfer proof.
CustomSkinLoader_Universal-15.0.1.jar,enabled,skin,15.0.1,user_reported_present,Skin loading; provenance and capture behaviour still require review.
dimensionalweather-1.1-1.20.1.jar,enabled,weather,1.1,user_reported_present,Candidate for dimension-specific weather; integrated behaviour untested.
DistantHorizons-3.2.0-b-1.20.1-fabric-forge.jar.disabled,disabled,lod_rendering,3.2.0-b,user_reported_disabled,Keep disabled during the minimum portal/transfer proof.
Drip Sounds-0.5.2+1.20.4-Fabric.jar,enabled,sound,0.5.2 for 1.20.4 label,user_reported_present_unverified,Filename targets 1.20.4 while profile is 1.20.1; do not infer compatibility.
eating-animation-1.20+1.9.61.jar,enabled,animation,1.9.61,user_reported_present,Cosmetic; isolate if actor capture issues occur.
ecologics-fabric-1.20.1-2.2.7.jar,enabled,worldgen_environment,2.2.7,user_reported_present,Generation-affecting/environmental content; freeze config before R0 generation.
effective-2.3.2-1.20.1.jar.disabled,disabled,particles_visuals,2.3.2,user_reported_disabled,Keep disabled until baseline portal rendering passes.
entity_model_features-3.2.4-1.20.1-fabric.jar,enabled,entity_visuals,3.2.4,user_reported_present,Entity model layer.
entity_texture_features_1.20.1-fabric-7.1.jar,enabled,entity_visuals,7.1,user_reported_present,Entity texture layer.
fabric-api-0.92.11+1.20.1.jar,enabled,api,0.92.11+1.20.1,user_reported_present,Exact user-reported Fabric API artefact.
fabric-seasons-2.4.2-BETA+1.20.jar,enabled,season,2.4.2 BETA,user_reported_present,Candidate for R4/R0 seasonal distinction; state persistence must be tested.
fabric-seasons-extras-1.3.2-BETA+1.20.jar,enabled,season,1.3.2 BETA,user_reported_present,Season extension.
fallingleaves-1.15.6+1.20.1.jar,enabled,particles_visuals,1.15.6,user_reported_present,Cosmetic foliage particles.
firstperson-fabric-2.7.2-mc1.20.1.jar,enabled,camera_animation,2.7.2,user_reported_present,First-person body/camera layer.
geckolib-fabric-1.20.1-4.8.4.jar,enabled,library,4.8.4,user_reported_present,Animation library.
immersive-portals-3.4.0-iris1.8-mc1.20.1-fabric.jar.disabled,disabled,portal,3.4.0 iris1.8 variant,user_reported_disabled,Old/alternative Immersive Portals artefact; keep disabled.
immersive-portals-5.2.0-mc1.20.1-fabric.jar,enabled,portal_dimensions,5.2.0,user_reported_present,Primary portal and bundled dimension-management candidate.
indium-1.0.36+mc1.20.1.jar,enabled,rendering_compatibility,1.0.36,user_reported_present,Rendering compatibility layer; test after no-shader baseline.
iris-1.7.6+mc1.20.1.jar,enabled,shader,1.7.6,user_reported_present,Shader loader; add shaders only after portal/replay proof.
lithostitched-fabric-1.20.1-1.4.11.jar,enabled,worldgen_library,1.4.11,user_reported_present,World-generation library; freeze exact artefact/config.
modmenu-7.2.2.jar,enabled,interface,7.2.2,user_reported_present,Mod configuration interface.
naturalist-5.0pre3+fabric-1.20.1.jar,enabled,wildlife,5.0pre3,user_reported_present,Living-world layer; entity transfer/Replay impact untested.
notenoughanimations-fabric-1.12.4-mc1.20.1.jar,enabled,animation,1.12.4,user_reported_present,Animation layer.
owo-lib-0.11.2+1.20.jar,enabled,library,0.11.2,user_reported_present,Library.
particlerain-4.0.0-beta.10+1.20.1-fabric.jar.disabled,disabled,weather_particles,4.0.0 beta.10,user_reported_disabled,Keep disabled while testing Dimensional Weather and portal rain.
particular-1.1.1.jar,enabled,particles_visuals,1.1.1,user_reported_present,Cosmetic particle layer.
Patchouli-1.20.1-85-FABRIC.jar,enabled,library_guide,85,user_reported_present,Guide/library dependency.
