state_id,role,source_state,save_or_dimension_id,coordinate_origin,terrain_scope,terrain_transfer,entities_policy,poi_policy,weather_or_season,backup_status,status,notes
R0-SOURCE,Protected approved R0 source after scouting and shared-geography corrections,,TPNM_R0_SOURCE,,Camera-visible production footprint plus buffer,None; canonical authoring source,Keep only intentional R0 entities; do not use as final actor source,Retain only if required by chosen location,R0 baseline,not_created,planned,Create from the selected seed/world; imports such as a ravine are completed before duplication.
R0-WORK,R0 production working save,R0-SOURCE,TPNM_R0_WORK,,Same coordinates as R0-SOURCE,Working copy,R0-specific actors staged or captured here only when useful,As required,R0 story states,not_created,planned,Contains R0 survival and MATCH FRAME A milestones.
R1-WORK,Rain echo authoring save,R0-SOURCE,TPNM_R1_WORK,,Same generated footprint,"Duplicate R0-SOURCE, then alter",Remove incidental mobs before transfer; stage important actors in filming master,Usually omit unless villagers/POI matter,Rain; denser/wetter dressing,not_created,planned,Independent working save.
R2-WORK,Ash echo authoring save,R0-SOURCE,TPNM_R2_WORK,,Same generated footprint,"Duplicate R0-SOURCE, then alter",Remove incidental mobs before transfer,Usually omit,Ash/scorched state,not_created,planned,Independent working save.
R3-WORK,Archive echo authoring save,R0-SOURCE,TPNM_R3_WORK,,Same generated footprint,"Duplicate R0-SOURCE, then alter",Transfer decorative entities only after a UUID/reload test,Transfer only if archive mechanics require it,Archive state,not_created,planned,Keep the archive compact and camera-led.
R4-WORK,Home reality authoring save,R0-SOURCE,TPNM_R4_WORK,,Same generated footprint,Direct R0 duplicate plus Home and minor state/season differences,Stage Moss and destructive-scene actors through protected milestones,As required by house/villager mechanics,Closest to R0; optional different season,not_created,planned,R4 is not rebuilt terrain: R4 = R0 + Home + minor differences.
FILM-MASTER,Final assembly and recording save,R0-WORK,TPNM_FILMING_MASTER,,"All chunks visible through portals, landscape shots and Replay cameras",R0 is overworld; R1-R4 imported into registered dimensions,Stage hero actors and portal entities after terrain transfer,Import only when explicitly required,Common fixed time; dimension-specific weather/season where tested,not_created,planned,Create portals only after all region/entity/POI replacements and reload validation.
DIM-R1,Final R1 dimension,R1-WORK,mns:r1_rain,,Same coordinates as R0,Replace/import selected generated terrain at zero offset,Default omit; conditional tested transfer,Default omit; conditional tested transfer,Rain,not_created,planned,Register/visit before copying; close Minecraft during file operations.
DIM-R2,Final R2 dimension,R2-WORK,mns:r2_ash,,Same coordinates as R0,Replace/import selected generated terrain at zero offset,Default omit,Default omit,Ash/scorched,not_created,planned,Do not rely on unexplored custom-dimension generation for camera-visible terrain.
DIM-R3,Final R3 dimension,R3-WORK,mns:r3_archive,,Same coordinates as R0,Replace/import selected generated terrain at zero offset,Conditional decorative-entity transfer,Conditional POI transfer,Archive,not_created,planned,"Validate block entities, inserts and archive props after reload."
DIM-R4,Final R4 dimension,R4-WORK,mns:r4_home,,Same coordinates as R0,Replace/import selected generated terrain at zero offset,Stage final actors after transfer,As required,R0-like with Home and minor seasonal difference,not_created,planned,"Maintain separate fresh, lived, pre-fire, burned and aftermath milestones."
