setup_id,setup_beat_or_scene,setup,initial_audience_interpretation,payoff_id,payoff_beat_or_scene,payoff,planned_payoff_type,resolution_status,intentionally_open_reason,latest_acceptable_point,notes
"SP-01","SC-02;SC-04","The R0 and R1 ravines share a lightning-shaped granite seam, stone rib and coordinate pattern despite incompatible surface states.","The portal may have moved the pair through time or altered one world.","PAY-01","SC-05;SC-13","Missing local marks establish separate echoes, and the final ascent uses the same coordinates to reveal R0 as the destination.","reinterpretation","planned","","SC-13","Use exact terrain and lenses before relying on narration."
"SP-02","SC-03","A complete active crying-obsidian frame stands in an unvisited R0 cave without a local approach route or builder evidence.","An unknown traveller or anomaly may have constructed it.","PAY-02","SC-11;SC-13","The protagonist builds the connected full frame in R4, whose receiving mouth appears in R0.","confirmation","planned","","SC-13","The R0 frame is projected from a material source rather than locally placed by another character."
"SP-03","SC-02","The protagonist records the clearing in a clean survey journal using a distinctive ravine symbol and repaired corner.","It is ordinary expedition bookkeeping.","PAY-03","SC-06;SC-13","The Archive Echo contains an older counterpart with the same notation, and the final image restores the clean journal at its beginning.","reinterpretation","planned","","SC-13","The exact counterpart history may remain open, but the prop identity must be unmistakable."
"SP-04","SC-04;SC-05","Re-entering advances to R2, and a cobblestone mark placed beside one mouth is absent at the next.","The portal may be malfunctioning or randomly selecting worlds.","PAY-04","SC-05;SC-06","Observed marks and Atlas arrows establish a stable forward-only echo chain.","confirmation","planned","","SC-06","Keep the mark outside the frame so its absence tests local reality rather than portal movement."
"SP-05","SC-03;SC-06","Crying particles flow directionally, and the Atlas labels the system one frame, many mouths with a full-frame route to first threshold.","The labels may be an unverified theory from an unseen traveller.","PAY-05","SC-11;SC-12;SC-13","The completed frame and anchor discharge activate a connection whose far mouth is the protagonist's first R0 threshold.","confirmation","planned","","SC-13","Fictional rule requires human canon approval and consistent visual language."
"SP-06","SC-07","The R4 mouth collapses and cannot be relit with ordinary fire, forcing the pair to remain near its coordinates.","The portal chain may have exhausted or the frame may be damaged.","PAY-06","SC-11","The protagonist returns to the same seam and builds the full keyed frame instead of attempting another ordinary relight.","escalation","planned","","SC-11","Make the missing materials and failed relight visible."
"SP-07","SC-08","A wool rug is placed beside a stone-surrounded open fireplace where Moss prefers to sit.","The stone surround makes the warm domestic arrangement appear safe.","PAY-07","SC-09;SC-10","The open flame reaches wool within its spread range and the rug carries fire into the timber room while the protagonist is away.","tragic_fulfilment","planned","","SC-10","Exact geometry and fire-tick behaviour require target-version testing."
"SP-08","SC-08;SC-09","Moss routinely waits on the rug only when the protagonist undertakes dangerous work and follows again on return.","The sit command is responsible care and ordinary household routine.","PAY-08","SC-10","The same command state prevents following or teleporting during the fire, and the sitting place is empty when the protagonist reaches it.","tragic_fulfilment","planned","","SC-10","Moss is never penned or placed in a separate pet room."
"SP-09","SC-01;SC-08;SC-09","Crying obsidian and glowstone are accumulated slowly, and the cold open shows the completed supply dropping outside the fire.","The materials are connected to the unexplained portal but not yet to the protagonist's absence.","PAY-09","SC-11;SC-12","The same inventory completes the frame and charged anchor immediately after the failed search.","confirmation","planned","","SC-12","Show ordinary acquisition or concise survival shorthand and preserve quantities."
"SP-10","SC-06","The Atlas requires the activating hand to discharge the anchor, but its final blast-distance measurement is torn away.","The danger may be manageable with improvised cover.","PAY-10","SC-11;SC-12","The direct-hand requirement keeps the protagonist inside the lethal blast problem and the incomplete baffle fails.","tragic_fulfilment","planned","","SC-12","Do not imply that the book guaranteed survival."
"SP-11","SC-01","The cold open cuts as the protagonist breaks towards the unseen shared room.","A direct rescue may still reach Moss.","PAY-11","SC-10","The repeated action continues to the consumed rug position, where Moss is gone, followed by an unsuccessful external search.","tragic_fulfilment","planned","","SC-10","Withhold through editing rather than false narration."
"SP-12","SC-02","Moss sits at the overlook while the protagonist opens his blank journal and decides that they can stay.","This is a conventional chronological restart after the cold open.","PAY-12","SC-13","The camera rises from the final portal into the exact scene, revealing it as the first-threshold destination and the next beginning of the loop.","reinterpretation","planned","","SC-13","Match blocking, light, audio and journal position precisely."
"SP-13","SC-10","No body, invented collar object or on-screen death message establishes what happened to Moss after the fire began.","Moss most likely died in the shared room, but absence leaves a narrow uncertainty.","OPEN-01","SC-13","The ending shows Moss alive only in the earlier R0 reality and does not resolve the R4 wolf's exact fate.","reinterpretation","intentionally_open","The requested event is that Moss is gone; keeping the R4 fate unseen avoids invented remains and preserves the protagonist's uncertainty without affecting the fire, portal, death or loop.","SC-13","Human approval should decide whether Story lock retains absence or requires explicit death evidence."
