scene_id,sequence_id,location,time,pov,scene_purpose,entry_state,objective,reason_objective_matters,obstacle,opposing_agent,tactics,information_revealed,information_withheld,emotional_progression,visual_event,turn,outcome,exit_state,new_question,setup_or_payoff,story_value,production_requirements
"SC-01","SQ-01","Burning west-rim cabin and shared sleeping area","World W3 at night; personal order 5; presented first as a cold open","Close protagonist","Promise immediate danger, establish that Moss outranks the structure and withhold only the rescue outcome.","The cabin is already burning and the protagonist is below Moss’s sitting place.","Reach and release Moss.","The relationship is the human stake and the opening must not imply a choice between life and property.","Separated fire blocks cut the route while the wolf remains seated.","Fire geometry and elapsed time.","Ignore storage, empty water towards Moss and break the shortest wall route.","The protagonist spends no action defending possessions once Moss is threatened.","The fire’s cause, portal connection and Moss’s fate remain unknown.","Panic to concentrated care, then interruption.","Water passes a burning chest as Moss appears through flame.","His hand reaches interaction distance and the film cuts.","The rescue remains unresolved but morally unambiguous.","What caused the fire, and did he reach Moss in time?","SP-05;SP-07","Hook, promise and emotional orientation.","Short reproducible fire stage, seated wolf line of sight, real water and breaking actions, and no claim that the outcome has been production-tested."
"SC-02","SQ-01","Ruined west-rim cabin and ravine overlook","World W5 near dusk; personal order 1","Close protagonist","Introduce the environmental authorship mystery without suggesting a visible intruder.","The protagonist is on a solo expedition at the unexplored edge of his map.","Cross the ravine before night and understand whether the ruin offers shelter.","Its construction should not exist in a region he has never visited.","The wooden upper cabin is gone, but player-made stone geometry and a descending stair remain.","Persistent aftermath, fading light and the protagonist’s own knowledge of the save.","Check map context, read the foundation, inspect the protected chest recess and follow the stair.","The ruin was built efficiently around the same natural granite seam and stone rib.","It is his later work, Moss lived here and the portal waits below.","Ordinary caution to unsettled recognition without an answer.","A repeated overlook frames the L-shaped foundation and purple light under the ravine lip.","The portal hum supplies a live route beneath a dead structure.","He descends rather than camping in the ruin.","Why is an active portal connected to a cabin with no history?","SP-01;SP-06","Grounds mystery in Minecraft construction and spatial persistence.","Burned cabin state, map-edge or coordinate context, reusable overlook, no body, no sign and no silhouette."
"SC-03","SQ-01","North-wall portal cave","World W5 at dusk; personal order 1","Close protagonist","Pose the title question through block evidence and make entry an accountable decision.","He expects the stair to lead to the ruin’s mine or cellar.","Explain the active frame before choosing whether to cross.","The portal is the only surviving system that may account for the impossible construction.","A blast cavity, exposed lava, cobblestone foot and plank remnant show recent causality but no builder.","The active frame and uncertain destination.","Inspect block faces, lava access, dark branch, frame economy and absence of recoverable drops.","The portal was physically constructed and activated near a recent explosion.","The protagonist built it after Moss’s death; fire rather than the explosion directly activated it.","Unease to chosen risk.","His hand rests on the water-cooled foot before moving into the portal plane.","He enters when observation alone cannot answer the contradiction.","The known world gives way to temporal displacement.","Where and when does this portal lead?","SP-02;SP-03;SP-09;SP-10;SP-11;SP-12","Inciting agency and a dense but fair clue cluster.","Exact portal hero set, blast cavity, lava and plank continuity, controlled transition, and no unsupported explosion-to-fire implication."
"SC-04","SQ-02","Bare north-wall cave and pristine ravine","World W0 several days before W5; personal order 2","Close protagonist","Prove earlier time through missing construction and repeated natural geography.","He expects a Nether arrival or another built exit.","Determine location, time state and immediate survival options.","Without orientation he cannot choose whether to wait, travel or reconstruct a route.","The portal plane collapses to bare stone, evening approaches and the distant established base is unreachable before night.","Temporal displacement, terrain and daylight.","Match the granite seam, stone rib, lava shelf and tree line; then secure the only flat ledge.","This is the same ravine before every player-placed block from the opening.","The exact interval, portal builder and future relationship remain unknown.","Disorientation to practical resolve.","The opening portal outline becomes bare rock in the same camera position.","He chooses a temporary camp beside the evidence instead of a blind night journey.","Stranded investigation becomes survival.","What will he build in the place whose ruin he already saw?","PAY-02;SP-01","Establishes the temporal rule through environment.","Pristine saved state, matched camera positions, day-night pressure and no second-avatar capture."
"SC-05","SQ-02","West-rim shelter, spruce terrain and cabin interior","World W0 through W1 across several in-game days; personal order 3","Close protagonist and Moss","Create an earned relationship and turn a temporary camp into the future home.","The protagonist is alone, provisionally sheltered and still seeking a return route.","Survive, tame Moss and establish a workable daily routine.","The later loss needs lived attachment, and every future structure needs an ordinary origin.","A skeleton, limited bones, building work, routine damage and the lava hazard complicate progress.","Night mobs, resource scarcity and ordinary animal behaviour.","Defeat the skeleton, attempt taming, feed Moss, gather spruce, build around the wolf and use sit only before ravine mining.","Moss enters the story through normal play; the bedside wait and release-on-return pattern becomes habitual.","The routine will make self-evacuation impossible during the fire.","Wariness to humour, trust and ease.","Moss occupies a planned stair block, follows a timber run and later waits beside the bed until released.","The protagonist stops calling the cabin temporary.","A stranded interval becomes a shared home.","Why do parts of this new home feel familiar?","SP-04;PAY-01","Relationship, normality, geography and mechanical setup.","Real skeleton drop, taming attempts, feeding, follow and sit states, staged construction progress and no pen or doghouse."
"SC-06","SQ-03","Cabin foundation, stone chest recess and ravine overlook","World W2 in daylight; personal order 4","Close protagonist","Convert repeated environmental detail into recognition of the cabin’s future.","He believes resemblance to the opening ruin may be incidental.","Compare the finished build against remembered landmarks.","If the ruin is this home, Moss is already inside a known danger pattern.","Fire removed the opening cabin’s upper form, so proof depends on surviving stone geometry rather than exact decoration.","Persistent blocks and the protagonist’s reluctance to accept the implication.","Align the granite notch, L-shaped footing, chest recess and stair rib from the opening viewpoint.","He has built the cabin whose burned remains preceded the portal.","The exact fire source, Moss’s fate and whether departure can avoid it remain unknown.","Unease to dread, then active determination.","A matched camera move turns the intact foundation into the remembered ruin without showing another person.","He packs to leave with Moss at dawn and identifies lava as the most credible hazard.","Mystery becomes a prevention problem.","Can practical changes stop the remembered fire?","PAY-01;SP-06","Major recontextualisation through construction rather than exposition.","Coordinate-accurate foundation, granite, recess and stair matches with reversible intact and ruined states."
"SC-07","SQ-03","Cabin, ravine stair and lava-shelf approach","World W2 at dusk; personal order 4","Close protagonist and Moss","Give the protagonist a sensible prevention strategy and prepare the hidden flaw.","He knows the cabin burns and intends to leave with Moss.","Make the cabin safe for one final night, neutralise the lava and depart at dawn.","Immediate night travel is dangerous, but waiting without changing the fire route would be passive.","One stripped-spruce support remains behind the new stone cladding, and the return mechanism may require obsidian.","Terrain, night pressure and incomplete visual access.","Pack supplies, replace exposed timber with stone, keep one water source ready and inspect the lava shelf.","He prioritises departure with Moss and does not plan to defend the cabin as property.","The cladding conceals a continuous flammable route and mining will expose lateral lava.","Fear to practical hope.","Packed bundles sit beside the door while stone covers the visible stair and one log seam disappears behind it.","He seats Moss beside the bed and descends for the final operation.","Is the apparent firebreak actually complete?","SP-04;SP-06;SP-07","Agency, credible risk management and causal preparation.","Readable shared sleeping area, packed-departure props, stone-cladding build, concealed-support cross-section and complete production blocking."
"SC-08","SQ-03","Lava shelf and stone-clad stair","World W2 moving into W3 at night; personal order 4","Close protagonist","Turn prevention into the ordinary fire cause and source the portal materials.","Moss is safely seated above, and the visible lava is covered by flowing water.","Neutralise the shelf and collect enough obsidian for a possible controlled frame.","Removing the hazard appears to protect Moss and preserve the only observed return technology.","A second lava source lies behind the final cooled block and can flow laterally beyond the visible water.","Fluid geometry, hidden timber and the protagonist’s dual objective.","Keep water on the exposed face, mine the obsidian and inspect the opening beneath it.","The cobblestone foot and obsidian used later have local origins; a side flow reaches the concealed support.","The protagonist does not yet know fire has already climbed behind him.","Concentration to alarm.","Water hisses on the visible face while orange light disappears behind stone and reappears on timber above.","Moss’s distress reveals that the fire has outrun his viewpoint.","Prevention becomes rescue emergency.","Can he reach the seated wolf before fire reaches the room?","PAY-03;PAY-06;SP-08","Physical causality, escalation and material provenance.","Target-version test for water direction, lava source placement, ignition range, fire tick timing and hidden-support visibility."
"SC-09","SQ-04","Burning cabin, shortest wall route and bedside sitting place","World W3 at night; personal order 5","Close protagonist and Moss","Complete the cold open, resolve Moss’s fate and avoid a false house-versus-wolf dilemma.","The protagonist hears Moss while the fire moves through separated cabin blocks.","Reach and release Moss immediately.","The wolf is the only objective once danger is known.","The protagonist begins below the cabin, one water source cannot suppress every fire block and Moss remains seated.","Fire timing and trained animal state.","Ignore storage, place water towards the room, break the shortest wall and attempt the release interaction.","The sit routine prevents autonomous escape and the ruin is created by the same fire already observed.","The later portal decision and fatal ignition remain unknown.","Urgency to hope at proximity, then grief.","The cold-open reach continues one beat further; flame clears to the empty sitting position after death.","The interaction comes after the terminal damage interval.","Moss is dead and the cabin is becoming the opening ruin.","Will the protagonist accept the loss or use the remembered portal as another attempt?","PAY-04;PAY-05;PAY-07","Emotional climax and relationship consequence.","Mechanically credible wolf position, visible prioritisation, controlled damage timing, no invented dropped collar and no claim of completed testing."
"SC-10","SQ-04","Burned cabin route, lava shelf and stored obsidian","World W3 late night; personal order 5","Close protagonist","Trace the disaster, connect it to the opening ruin and generate the final objective from grief.","Moss is dead, the cabin cannot be recovered and the protagonist has survived with damaged equipment.","Find the fire’s cause and any remaining route to a time before it.","Causal knowledge is the only thing he can still act upon.","The missing-block path implicates his own support and mining, while the standing portal from memory does not yet exist.","Persistent aftermath and grief-driven reasoning.","Follow the burn line, compare the surviving stone shell and gather the obsidian already mined.","The current ruin is the opening ruin, and he possesses the materials needed to become the portal builder.","The creeper, death and activation geometry remain unknown.","Numbness to desperate purpose.","The camera follows absent timber from Moss’s room to the lava shelf, then lands on ten obsidian blocks.","He carries the obsidian to the bare portal outline.","Grief becomes immediate reconstruction.","Can the remembered frame take him back before the fire?","SP-02;SP-08","Causal recognition and launch of the final attempt.","Burned reset matching SC-02, legible missing-block route, ten sourced obsidian blocks and subdued gameplay pacing."
"SC-11","SQ-05","North-wall portal cave and dark lateral branch","World W4 before dawn; personal order 6","Close protagonist","Reveal the builder through action and make haste create lethal exposure.","He has obsidian, one water bucket, local spruce, reduced health and no safe ignition tool.","Build and activate the remembered portal immediately.","He believes another crossing is the only remaining chance to reach Moss alive.","The frame is inert, flint and spare iron were lost, rescue water removed a branch torch and a creeper can approach unseen.","The grief-driven protagonist and the creeper’s ordinary hostile behaviour.","Copy the economical frame, recreate the foot, place a lava source and spruce cradle, then watch for fire.","He physically built every opening portal detail after Moss’s death.","The blast will enable rather than directly create the eventual fire inside the frame.","Purpose to fragile hope, then fatal shock.","The opening close-ups repeat in reverse until a hiss turns him from the still-dark frame.","The creeper detonates at close range and kills him.","The builder is absent; the retaining lip is broken and the ignition geometry has changed.","Will the blast extinguish the attempt or complete it?","PAY-02;PAY-08;PAY-09;PAY-10","Builder confirmation, terminal reversal and blast-scar origin.","Exact block reconstruction, washed-torch continuity, controlled creeper approach, credible health and armour state, Hardcore death language and no simultaneous avatar."
