scene_id,script_requirement,preferred_method,minecraft_version,tool_or_mod,deterministic_control,camera_method,vfx_method,fallback,test_id,evidence_status,notes
1,"R4 ridge return, smoke, purple cargo drop and MATCH PATH run without narration or portal audio",Controlled R4 gameplay plate with separate smoke layer,1.20.1 provisional,Vanilla plus tpnm_take; compositor unselected,"Fixed night/weather, MP camera mark, hero path, tagged cargo marks and protected fire state",Locked numerical MATCH PATH camera; raised 58-degree FOV,Layer distant smoke and fire light only if live state is unstable,Locked clean path plate plus isolated smoke/fire elements,CONT-001; VFX-003,planned_not_tested,Capture with Scene 10 continuity where practical; no filename or take exists.
2,"Lone R0 arrival, survival, wild-wolf intervention, taming, fishing, MOSS naming, routines and MATCH FRAME A","Protected R0 milestone copies in the selected scouted/adapted location, with short separately controlled action plates",1.20.1 provisional,Vanilla datapack first; Carpet/Scarpet conditional; Axiom conditional,"Separate wild, tamed-unnamed and named states; fixed skeleton marks; controlled fishing insert; exact MF-A marks","Locked MATCH PATH arrival, short montage tracks and locked 52-degree MATCH FRAME A",Only concealed joins and graphic inserts; no generated imagery,"Separate threat, intervention, taming and naming plates joined causally",MEC-001; MEC-002; MEC-003; CONT-001; GFX-001,planned_not_tested,"Collar and name cannot appear early; preserve one future narration recording for Scenes 2 and 13. R0 is the approved scouted location, not a separately constructed neutral master."
3,"Ordinary descent, granite seam, iron-caused turn, crying-frame reveal, rainy parallax and continuous crossing with Moss",Live Immersive Portals view if minimum proof passes,1.20.1 provisional,Immersive Portals 5.2.0; R0-derived custom dimension and Dimensional Weather conditional,"Fixed seam/iron structures inherited from R0, zero-offset R1 terrain transfer, player/Moss threshold marks, pregenerated chunks and fixed weather","Descending follow, slow reveal, four-block lateral track and threshold follow","Destination plate, tracked frame mask, tear particles and audio transition if live path fails",Matched R0/R1 plates with threshold occlusion or controlled cut for Moss,LOC-001; POC-002; WORLD-001; POC-003; POC-004; MEC-003,documented_individual_support_only; integrated_not_tested,Portal sound starts only after visible reveal.
4,"R1 rainy arrival, absent surface home, dry-looking return view and one cobblestone marker",R1 working-save duplicate transferred into mns:r1_rain with fixed rain,1.20.1 provisional,Immersive Portals 5.2.0; R0-derived custom dimension; Dimensional Weather 1.1,"Fixed rain/time, R1 geometry, player/Moss arrival marks and one-block marker structure","Matched seam arrival, environmental surface track and locked foot insert",Composite rain/light/audio if portal weather does not render,R1 destination plate with matched source frame and hidden crossing cut,POC-003; POC-004; CONT-002,planned_not_tested,"The surface difference must be physical, not grade-only. R1 terrain comes from the duplicated R0 source at matching coordinates."
5,"R2 first missing marker, deliberate L marker, R3 second absence and ECHOES conclusion",R0-derived R2/R3 working saves transferred into final dimensions with structure-controlled marker variants,1.20.1 provisional,Vanilla tpnm_take; Axiom only for building,"Bare-foot, one-block and L-plus-torch structures; fixed journal/block-count inserts","Exact locked frame-foot camera repeated in R1, R2 and R3; short surface geography shot",Ash particles may be a separate restrained layer,Use locked clean plates and editorial cuts rather than live consecutive crossings,POC-002; WORLD-001; CONT-002; GFX-001; POC-005,planned_not_tested,Hold each absence long enough to register; same coordinates are crew evidence only.
6,"Archive habits, paired journals, seven Atlas instructions, failing mouth, gravel blockage and forced crossing",Compact R3 working-save derivative transferred into mns:r3_archive plus separately controlled insert and portal-failure plates,1.20.1 provisional,Vanilla tpnm_take; Immersive Portals candidate; graphics/compositor unselected,"Page-order cue, fixed desk props, gravel structures, shrinking-mouth timing and Moss exit mark","Slow archive survey, 35–40-degree locked inserts and wide threshold exit","Contracting destination mask, sound-layer dropout and controlled gravel state",Static graphic pages and matched portal composite with concealed crossing,GFX-001; VFX-001; POC-003,planned_not_tested,Use only Script-approved Atlas wording; no cosmology additions.
7,"R4 dry arrival, projected-block fade, ordinary-fire failure, surface marker and first roof",Fresh R4 direct duplicate of R0 with staged incomplete-mouth structure,1.20.1 provisional,Vanilla tpnm_take; Immersive Portals candidate,"Fixed dry morning, complete-to-incomplete frame structures, failed-fire cue, marker and shelter module",Matched arrival then static collapse and restrained rise to surface,Fade projected upper blocks and destination image softly,Cut from complete arrival plate to inert-frame plate; no live collapse required,POC-003; VFX-001; ACT-001,planned_not_tested,The collapse is quiet and non-explosive. Preserve R0 geography; R4 adds Home and minor differences rather than a new landscape.
8,"Passage of time, shared routines, hearth, rug growth, conventional portal trips and slow material preparation",Repeated locked compositions across protected R4 milestones,1.20.1 provisional,Vanilla tpnm_take; Axiom conditional; conventional portal vanilla,"Build-state structures, Moss marks, sit/follow/feed cues, rug state IDs and fixed seasonal light plates","Locked exterior, domestic wide, short bridge follows and ledger inserts",Weather and time transitions through cuts; no ominous fire emphasis,Reduce montage angles while preserving every causal domestic beat,MEC-003; MEC-004; CONT-004,planned_not_tested,"Final rug square creates the proposed fire origin but remains affectionate in presentation. R4 remains the closest R0 derivative; only Home, season/state and destructive milestones differ."
9,"Final ledger entries, routine feed/sit/bark, conventional departure and first rug flame",Controlled Moss routine plus separate room/fire-origin plate,1.20.1 provisional,Vanilla tpnm_take; audio recorder unselected,"Exact Moss/rug marks, feed cue, two sit gestures, isolated bark sync and fixed ignition mark","Static ledger insert, measured two-shot and locked room wide",Composite or progressive first-flame state if spread timing varies,Join a clean Moss hold to a separate ignition plate after portal audio fades,AUD-001; MEC-003; MEC-004,planned_not_tested,"Scene 12 must reuse this exact future bark performance; none exists yet. R4 remains the closest R0 derivative; only Home, season/state and destructive milestones differ."
10,"Resume MATCH PATH, water and steam, blocked doorway, wall breach, empty room, burn fan, search and Atlas choice",Protected burning and burned R4 copies with separate hazard plates,1.20.1 provisional,Vanilla tpnm_take; Axiom conditional; compositor unselected,"Exact path continuation, water cue, falling-timber state, removable wall, search marks and forbidden-item cleanup","Locked MATCH PATH, static doorway, slow burned-room settle and route montage",Controlled steam/smoke/fire layers and progressive burn states,Art-directed burned state retaining tested origin and fan; separate search plates,CONT-001; MEC-004; VFX-003; EDIT-002,planned_not_tested,"No body, collar drop, death message or locating bark. R4 remains the closest R0 derivative; only Home, season/state and destructive milestones differ."
