event_id,order,summary,cause_ids,cause_type,actor_id,goal,decision,consequence,state_change,new_information,audience_effect,dependent_event_ids,counterfactual_result,deletion_impact,production_note
"CE-01","1","On a solo Hardcore expedition, the protagonist reaches an unvisited ravine containing a burned cabin and an active portal.","","initial_state","PROTAGONIST","Understand the impossible construction before night forces him away.","He inspects the persistent block evidence instead of treating the ruin as scenery.","The portal becomes an actionable contradiction rather than an unexplained background object.","Routine exploration becomes authorship mystery.","The cabin and frame were deliberately built in a region he has not previously visited.","Immediate danger from the cold open is joined by a fair environmental puzzle.","CE-02|CE-05","pass","Without the authored ruin, entering the portal lacks mystery and later construction has nothing precise to fulfil.","Show map-edge or coordinate context, a burned stone shell and no second avatar or invented evidence."
"CE-02","2","He chooses to enter the active portal beside the blast cavity.","CE-01","prior_event","PROTAGONIST","Test the only object capable of explaining the ruin and temporal contradiction.","He crosses despite having no verified destination or return frame.","He is ejected into the same ravine before the cabin, stair or portal exists.","Investigator becomes temporally stranded survivor.","The portal routes through time rather than to an ordinary Nether destination.","The title mystery expands into questions about when the ruin was made and whether it is his future.","CE-03|CE-08","pass","Deleting entry removes the displacement, relationship, fire, builder reveal and closed journey.","Use one controlled temporal transition and match natural geography exactly."
"CE-03","3","In the pristine ravine, he chooses to camp near the absent portal site and investigate rather than begin a long blind journey.","CE-02","external_disruption","PROTAGONIST","Survive the night and preserve access to the only temporal evidence.","He builds a temporary shelter on the west shelf and gathers local resources.","The practical camp creates the foundation of the later cabin.","Displacement becomes provisional settlement.","Every player-placed block from the opening lies in this location’s future.","Disorientation gives way to cautious possibility.","CE-04","pass","Without settlement, the cabin and relationship never acquire ordinary causes.","Capture the pristine shelf and bare cave before placing any construction."
"CE-04","4","He tames Moss and turns the temporary shelter into a shared working home.","CE-03","prior_event","PROTAGONIST","Create a safe routine while he studies the portal site and gathers supplies.","He uses bones earned from a skeleton, feeds Moss, builds around the terrain and sits the wolf only before dangerous ravine work.","The cabin footprint and sit-follow ritual become durable parts of the world.","Temporary survival becomes relational attachment.","The wolf’s obedience and the cabin’s distinctive geometry arise through normal play.","Warmth and rapport make the remembered ruin emotionally threatening.","CE-05|CE-07","pass","Without the bond and routine, Moss’s death is mechanical leverage rather than earned loss.","Use real taming, feeding, following, building obstruction and return-from-mine actions."
"CE-05","5","Recognising the opening ruin in his own foundation, he decides to leave with Moss after neutralising the lava and collecting portal material.","CE-01|CE-04","parallel_cause","PROTAGONIST","Prevent the remembered fire without abandoning the only route he may be able to reconstruct.","He stone-clads the stair, seats Moss away from the lava and begins cooling and mining the shelf.","A visible firebreak exists, but one continuous stripped-spruce support remains concealed behind it.","Attachment under threat becomes active prevention.","The future ruin is his cabin, and its apparent hazard can be investigated through block continuity.","Recognition produces hope because he acts promptly and sensibly.","CE-06|CE-08","pass","Deleting recognition removes his prevention strategy and makes later fulfilment coincidental.","Match the granite seam, foundation bend, chest recess and stair rib to the opening ruin."
"CE-06","6","Mining the final accessible obsidian opens a lateral lava flow that reaches the hidden timber support.","CE-05","prior_event","PROTAGONIST","Remove the lava hazard and obtain enough obsidian for a controlled return frame.","He keeps water on the visible face and mines the cooled block, accepting the ordinary risk of another source behind it.","The side flow bypasses the visible stone cladding and ignites the continuous support.","Prevention becomes active fire.","The fire begins through ordinary material adjacency created by his own build and mining choices.","Hope reverses into causal dread without invoking supernatural correction.","CE-07","pass","Without the concealed side flow and support, the fire is arbitrary or requires an invented force.","The lava path, ignition distance and timing require target-version reproduction."
"CE-07","7","He abandons every structural objective and attempts to release Moss, but reaches the sitting place too late.","CE-04|CE-06","parallel_cause","PROTAGONIST","Save Moss regardless of the cabin’s destruction.","He directs his single water source towards the wolf, ignores storage and breaks the shortest route through the wall.","Moss dies from fire damage before the release interaction completes; the cabin burns to the opening state.","Protection becomes irreversible grief.","The sit routine and hidden fire route, not a house-versus-wolf choice, caused the loss.","The cold-open question resolves tragically while preserving the protagonist’s moral priority.","CE-08|CE-09","pass","Deleting the failed rescue removes the emotional cause of portal construction and the story’s tragic centre.","Rehearse fire stages, water route, interaction distance and wolf damage; do not claim reliability before testing."
"CE-08","8","After tracing the burn path, he builds the remembered frame to seek another chance before the fire.","CE-02|CE-07","parallel_cause","PROTAGONIST","Use the only temporal mechanism he has witnessed to return to Moss while it is alive.","He rejects departure and immediately reconstructs the economical frame from locally mined obsidian.","The cobblestone foot, asymmetry and ignition position reproduce the portal from the opening.","Grief becomes committed reconstruction.","The unknown builder is the protagonist after Moss’s death.","Mystery satisfaction is inseparable from concern about his haste.","CE-09|CE-10","pass","Without this decision, the title question and closed personal journey remain unanswered.","Repeat the opening portal composition through actual mining and block placement."
"CE-09","9","While he attempts an emergency lava-and-spruce ignition, a creeper from the dark branch detonates and kills him.","CE-07|CE-08","external_disruption","PROTAGONIST","Activate the frame immediately without the flint, steel and spare iron lost in the fire.","He continues the ignition while damaged and without restoring the branch torch or defensive equipment.","The close blast is terminal and breaks the cobblestone lip retaining his placed lava.","Desperate builder becomes absent builder; contained ignition becomes altered fluid geometry.","The opening blast cavity and lack of a builder are consequences of the final attempt.","The apparent accident becomes the earned lethal reversal.","CE-10","pass","Without the creeper event, his absence and the blast geometry beside the opening portal have no cause.","Confirm spawning or approach logic, blast radius, health state and Hardcore presentation in the target build."
"CE-10","10","The altered lava reaches the remaining spruce, fire forms inside the valid frame and the portal activates for his earlier personal self.","CE-08|CE-09","parallel_cause","PROTAGONIST","Create a route back through the ignition arrangement he chose before death.","His prior placement of the lava source, retaining lip and spruce cradle allows the post-blast fire path to complete.","The active portal survives beside burning drops and later becomes the impossible frame encountered at the beginning.","Failed escape becomes self-authored threshold.","The creeper did not directly create fire; it exposed the ordinary lava-and-wood ignition that lit the portal.","The builder, activation, blast cavity and journey close in one visual causal pay-off.","","pass","Deleting activation breaks the opening premise and leaves the frame inert despite every preceding cause.","Test blast-modified flow, fire spread into the frame, item destruction and portal persistence; use a match cut rather than a duplicate-avatar shot."
