info_id,question_or_fact,audience_knows_before,audience_expects_before,character_knowledge_before,delivery_beat_or_scene,audience_knows_after,audience_expects_after,emotional_orientation_after,withheld_or_revealed,fairness_setup_ids,payoff_or_resolution_id,notes
"INF-01","Who built the portal?","The frame stands in an unvisited private-world region beside a player-built ruin and no visible person.","Its builder may be connected to the burned cabin, but environmental damage does not identify anyone.","The protagonist knows only that he did not build it before his opening discovery.","SC-11","The protagonist constructs the exact frame after Moss dies, using locally mined materials.","The remaining question is how his failed ignition produced the active opening state.","Mystery satisfaction mixed with dread about his haste.","revealed","SP-02|SP-03|SP-08","PAY-02","No silhouette, message, voice or second-player hypothesis carries the reveal."
"INF-02","Where and when does the first crossing lead?","The opening ruin and portal occupy a recognisable ravine.","The destination may be the Nether, another world state or the same place at another time.","The protagonist has no tested model for the portal.","SC-04","The same natural ravine exists before every player-placed block, establishing an earlier state.","The audience expects the protagonist’s actions to create at least some opening details.","Disorientation becomes anticipatory recognition.","revealed","SP-01|SP-12","PAY-01","Natural geography provides proof before narration interprets it."
"INF-03","Whose burned cabin appeared in the opening?","The ruin has an L-shaped foundation, granite notch, chest recess and stair rib.","It may belong to the unknown portal builder.","The protagonist remembers the layout but initially treats similarities as incidental.","SC-06","His practical terrain-driven construction matches every surviving feature.","The cabin is expected to burn unless his prevention changes the causal path.","Attachment turns the opening ruin into a personal threat.","revealed","SP-01","PAY-01","Recognition occurs after the relationship and cabin have acquired value."
"INF-04","Why can Moss not leave the fire alone?","Moss repeatedly waits beside the bed when the protagonist uses the sit command before ravine work.","The routine appears to keep the wolf away from ordinary mining danger.","The protagonist trusts the cabin and firebreak for one final night.","SC-09","The sitting state persists during the fire and requires the protagonist to reach and release Moss.","The outcome depends on route timing rather than a pen, locked doghouse or human-like indecision.","Dread grounded in familiar gameplay behaviour.","revealed","SP-04","PAY-04","Moss is not enclosed; the command state is the constraint."
"INF-05","Can foreknowledge prevent the fire and save Moss?","The protagonist has recognised the ruin early enough to plan departure and remove the apparent hazard.","A stone firebreak and immediate action may produce a different outcome.","He believes the visible lava route can be neutralised before dawn.","SC-09;SC-12","His prevention exposes the hidden path, Moss dies, and the later portal attempt creates the opening threshold.","The audience expects no branch, reset or successful retry after his death.","Tragic recognition without moral contempt.","revealed","SP-05|SP-06|SP-07","PAY-05","No invisible correction occurs; each result follows chosen actions and physical conditions."
"INF-06","What starts the cabin fire?","The lava shelf, stone-clad stair and concealed log seam have been shown before ignition.","Lava remains the likely hazard, but the firebreak appears to separate it from the cabin.","The protagonist believes water covers the visible lava face.","SC-08;SC-09","Mining the final cooled block opens a lateral source that reaches the continuous support behind the cladding.","The audience can trace the missing-block route into the cabin.","Causal dread and frustration at an understandable mistake.","revealed","SP-06","PAY-06","Exact range and timing remain subject to version-specific testing."
"INF-07","Does Moss survive the cold-open fire?","The cold open shows an immediate rescue attempt but cuts before interaction.","The protagonist may reach Moss because he ignores the structure and acts directly.","He knows only that Moss is seated above when the fire begins.","SC-09","He reaches the sitting place after the terminal damage interval and Moss dies without an invented dropped token.","The portal construction is expected to arise from grief rather than a building-loss dilemma.","Grief and unfair-seeming lateness grounded in prior mechanics.","revealed","SP-04|SP-05|SP-07","PAY-05","The narration never claims survival or death before the event is shown."
"INF-08","How was the opening portal lit?","The frame is active beside exposed lava, blast damage and one remaining plank.","The blast may appear to have activated it directly.","The protagonist later knows only that he must reproduce an active frame.","SC-12","The explosion breaks the retaining lip; lava then ignites remaining spruce and ordinary fire forms inside the frame.","The audience can distinguish geometry change from fire generation.","Mechanical satisfaction inside the tragic reveal.","revealed","SP-03|SP-11","PAY-11","Testing must confirm the exact arrangement; no false claim that creeper blasts create fire is made."
"INF-09","What caused the blast cavity and absence of a builder?","The opening cave contains recent missing blocks, exposed lava and no body or recoverable inventory.","The builder may have left or died in the environmental event.","The protagonist has not yet imagined himself as the builder.","SC-11;SC-12","A creeper kills him, creates the cavity and leaves his drops to be destroyed by lava or fire.","The later opening self can arrive without seeing another avatar or implausible remains.","Shock followed by complete recontextualisation.","revealed","SP-09|SP-10","PAY-10","Item destruction and portal persistence require capture testing."
"INF-10","Where did the portal’s temporal routing first originate?","The frame has ordinary materials but its route does not match vanilla portal behaviour.","Builder identity may appear likely to explain the temporal property as well.","The protagonist copies the arrangement empirically and never learns its external first design.","SC-12","He is confirmed as builder and activator, but no external origin for the copied routing information is supplied.","The question remains reflective rather than a missing cause for the fire, death or journey.","Open-ended unease after practical closure.","withheld","SP-12","OPEN-01","The intentionally open resolution remains a proposal requiring human approval before canon lock."
