path_id,shot_id,tool,duration_seconds,fps,start_state,end_state,notes
"PATH-001","S01-001","Numerical gameplay camera; exact tool pending CAM-001","6","24","MP local (-4,2.6,-8), 62-degree FOV, ridge before hero enters","Same camera after slow settle on hero/smoke","Planned path only; no transform has been created in Minecraft."
"PATH-002","S01-002; S02-001; S10-001","Locked numerical camera","15","24","MP-C (0,2.2,-10), 58-degree FOV, level, path centreline X0","Identical camera; only actor and world state change","MATCH PATH invariant across R4 night, R0 morning and resumed fire run."
"PATH-003","S02-002","Replay Mod 2.6.23 after CAM-001; alternative only after retained failure","8","24","CL-C (-6,2.8,-8), facing overlook","CL-C shifted 1 block camera-right with same target","Restrained observational drift; static fallback acceptable."
"PATH-004","S02-003","Short controlled gameplay moves","6","24","S2-A (-7,1.7,-5), three actor marks held","Camera advances 1 block without crossing action line","Separate actor plates may use the same path."
"PATH-005","S02-005; S13-004","Locked numerical camera","10","24","MF-A (-5,2.2,-7), 52-degree FOV, fixed sun and marks","Static hold followed by optional 1-block restrained follow","Scene 13 must repeat the exact approved path or reuse the source plate."
"PATH-006","S03-001","Replay Mod, CinematicTools or controlled spectator after test","12","24","Ravine descent upper mark, 62-degree FOV","PC-D (-6,2.4,-10) facing granite seam","Keep water, ledges and Moss route legible."
"PATH-007","S03-002","Numerical corner reveal","8","24","PC-R start behind iron corner (-7,1.8,-8)","PC-R end (-5,1.8,-7) with frame centred","Portal audio starts only after the frame enters view."
"PATH-008","S03-003","Validated portal-capable camera tool","6","24","PC-P (-2,1.7,-6), target frame centre","PC-P (2,1.7,-6), same target and 54-degree FOV","Four-block lateral parallax proof; no easing change within match plates."
"PATH-009","S03-003; S04-001","Validated portal camera or matched composite path","5","24","Source mark (0,1.6,-4)","Destination mark (0,1.6,4)","Player/Moss crossing may use separate concealed handoff if live transfer fails."
"PATH-010","S04-002","Replay or controlled spectator","8","24","R1-S (-8,3,-10), 68-degree FOV","R1-S shifted 2 blocks right, target empty build footprint","Physical geography must remain recognisable."
"PATH-011","S04-003; S05-001; S05-003","Locked numerical insert camera","4","24","FF-C (-2.5,1,-3), 40-degree FOV, left foot centred","Static end identical","Used for marked R1, bare R2 and bare R3 plates."
"PATH-012","S06-001","Slow archive survey; exact tool pending","8","24","AR-C (-6,2.1,-7), target storage","AR-C shifted 2 blocks right, target desk symbol","Do not move during readable Atlas inserts."
"PATH-013","S06-003","Validated portal camera or matched plates","7","24","AR-X (-7,2,-6), blocked stair and pair visible","Threshold mark at frame with camera 2 blocks closer","Gravel and portal contraction may be separate layers."
"PATH-014","S07-001","Matched destination continuation","5","24","R4-A crossing endpoint","R4-A static look-back at collapsing mouth","Soft state fade; no explosive camera shake."
"PATH-015","S08-001","Locked milestone camera","8","24","HOME-EXT (-10,3,-12), 60-degree FOV","Static identical endpoint","Each build milestone uses the same camera, light family and footprint."
"PATH-016","S08-003; S09-003","Locked domestic camera","10","24","HR-C (0,1.8,-7), 52-degree FOV","Static identical endpoint","Bare-floor, rug-growth, routine and first-flame states share this view."
"PATH-017","S09-002","Measured two-shot path","6","24","HR-G (-4,1.6,-6), protagonist and Moss at portal-side marks","Camera follows 1.5 blocks towards rug without panning past hearth","Bark is isolated; second sit gesture remains visible."
"PATH-018","S10-002","Locked hazard camera","8","24","DOOR-C (-5,1.7,-4), doorway centred","Static; effects move within frame","Water, steam and timber captured as controlled layers."
"PATH-019","S10-003","Slow burned-room settle","7","24","Breach camera (-6,1.9,-2), 55-degree FOV","Camera shifts 1 block right, keeping empty rug mark centred","No body, collar-like item or locating sound."
"PATH-020","S10-004","Series of short route paths","5","24","Each search-site entry mark","Each matching listen mark","Maintain left-to-right travel logic across montage."
"PATH-021","S11-001","First-person controlled descent","1","24","Protagonist eye mark above dark ledge, 70-degree FOV","One block lower/forward without recentering","Green edge remains in extreme 5% of frame for less than a second."
"PATH-022","S11-002","Locked labour fragments","5","24","FC-W (-6,2,-8), incomplete frame","Same camera, complete dark frame","Construction progression occurs through state cuts."
"PATH-023","S11-004","Measured baffle lateral","6","24","FC-B (-7,2.1,-8), baffle foreground","Two blocks camera-right with frame and landing space still visible","Validate that movement does not expose hidden safety barriers."
"PATH-024","S12-001; S12-002","Locked performance camera","15","24","FC-C/FC-I approved rear three-quarter mark","Static through choice and interruption","Separate fall plate must match the same landing geometry."
"PATH-025","S12-004","Locked external aftermath","27","24","FC-AF (-7,2.3,-9), 60-degree FOV","Static through flash and portal resolution","Camera begins only after black; no protagonist viewpoint."
"PATH-026","S13-001","Omniscient environmental dolly","12","24","OM-C (-8,3,-10), 52-degree FOV","OM-C (-2,2.2,-4), portal centre held","Smooth and head-bob-free; begins in protagonist-free aftermath."
"PATH-027","S13-002","Live portal or matched 3D card path","10","24","R4 source side (0,2,-2)","R0 destination side (0,2,5)","Pass matching seam; preserve frame-edge occlusion."
"PATH-028","S13-003","Blender or modular in-game path; tool unselected","13","24","Vertical module Y0 looking upward","Vertical module Y18 at R0 surface light","Matched dissolves are acceptable; no literal clipping or consciousness implication."
"PATH-029","S13-005","Locked underground reveal","5","24","P03 reveal reference camera","Static frame with R1 rainy destination","Portal sound exists underground only."
