scene_id,sequence_id,location,time,pov,scene_purpose,entry_state,objective,reason_objective_matters,obstacle,opposing_agent,tactics,information_revealed,information_withheld,emotional_progression,visual_event,turn,outcome,exit_state,new_question,setup_or_payoff,story_value,production_requirements
SC-01,SQ-01,R4 burning house and shared main room,R4 at night; late personal order; presented first as a cold open,Close protagonist,Promise urgent relationship loss and establish that Moss outranks possessions.,The protagonist returns over the ridge carrying portal materials and sees the house already burning.,Reach Moss through the shortest available route.,Moss is the shared-life stake and the opening cannot imply that the protagonist pauses to save property.,The wool rug and timber interior are burning while Moss is not visible from outside.,Fire geometry and elapsed absence.,"Drop crying obsidian and glowstone, place water towards the room and break the shortest wall.",The protagonist spends no action on storage and has returned with unexplained portal materials.,"The fire's cause, Moss's location and the meaning of the materials remain unknown.","Shock to concentrated rescue, then interruption.",Water crosses the burning rug as the protagonist reaches through smoke.,The image cuts before the room is visible.,The rescue remains unresolved but its priority is clear.,The rescue remains unresolved but its priority is clear.,"What happened while he was away, and is Moss still inside?",SP-11,"Hook, emotional orientation and material mystery.","Set and state: R4 house in a controlled partial-fire condition. Props and mechanics: dropped crying obsidian, glowstone, water placement and a breakable rescue wall. Continuity and capture: exact action and camera match for SC-10; no mechanical validation is claimed."
SC-02,SQ-01,R0 clearing and ravine overlook,R0 morning; personal order 1 after the cold open,Close protagonist and Moss,"Establish the pair, blank survey journal and surface composition later revealed as the portal destination.",The protagonist and Moss have reached an unvisited but resource-rich clearing.,Decide whether to stop and establish a base.,The choice defines home before the portal makes location unstable.,"The ravine is remote, but it offers water, stone, timber and a natural overlook.","Terrain, distance and ordinary survival needs.","Check the map, draw the ravine symbol, let Moss settle and place a temporary marker.",Moss and the protagonist are already a functioning pair and voluntarily choose the place.,An active crying portal waits below and the scene is the far end of the final connection.,Travel weariness to quiet belonging.,Moss sits at the ledge while the clean journal opens on the first ravine sketch.,A low hum from below changes settlement into investigation.,They descend together rather than beginning construction immediately.,They descend together rather than beginning construction immediately.,What could be active beneath an untouched clearing?,SP-01;SP-03;SP-12,"Relationship foundation, audience orientation and final-image setup.","Set and capture: repeatable R0 morning clearing, ravine overlook and locked wide-shot position. Performance and props: controlled Moss mark, clean journal insert, ravine symbol and temporary marker. Continuity: preserve lighting, blocking and audio references for SC-13."
SC-03,SQ-01,R0 north-wall ravine cave,R0 later that morning; personal order 1,Close protagonist and Moss,Pose the title question and make the first entry an accountable decision.,The pair follow the hum into a cave with no player route or mine.,Explain enough of the active frame to decide whether to cross.,The frame is the only evidence capable of challenging the protagonist's private-world knowledge.,A complete crying-obsidian portal should not behave like a normal Nether frame and has no local construction evidence.,The impossible active threshold and uncertain destination.,"Inspect coordinates, frame faces, surrounding natural blocks and absence of dropped or written evidence; keep Moss close before crossing.",The portal is deliberate in shape but has no local builder or approach history.,It is the receiving mouth of the protagonist's final R4 construction.,"Curiosity to unease, then chosen risk.",The protagonist's hand and Moss's silhouette enter the purple plane together.,He chooses action when inspection reaches its limit.,Both leave R0 through the impossible frame.,Both leave R0 through the impossible frame.,"Does it lead to the Nether, another location or another version of this place?",SP-02;SP-05,Inciting agency and title mystery.,"Set and effects: complete active crying-obsidian hero frame in an untouched natural cave, with a transition language distinct from a vanilla Nether portal. Blocking and continuity: safe repeatable player-and-wolf entry, coordinate insert and matching frame geometry for SC-11."
SC-04,SQ-02,R1 Rain Echo ravine and R2 Ash Echo threshold,R1 and R2 during the first two crossings; personal order 2,Close protagonist and Moss,"Deliver confusion, exploration and the failed assumption that re-entry returns home.",The pair emerge beside the same granite seam under persistent rain and a new watercourse.,"Verify the place, then return to R0.","Moss, supplies and the intended home all remain on the far side as far as the protagonist understands.",Natural geography matches while the surface state contradicts the clearing they left.,The echo environment and an incorrect reversible-door model.,"Compare coordinates, climb to the surface, inspect landmarks and re-enter the frame.",The portal preserves place more reliably than reality state.,The one-way chain and ultimate destination remain unknown.,"Disorientation to cautious confidence, then sharper alarm.",Rain vanishes at the transition and an ash-coloured tree line replaces it.,The attempted return produces another unfamiliar reality.,The protagonist can no longer assume that turning round means going back.,The protagonist can no longer assume that turning round means going back.,How can he test whether these are distinct realities rather than one changing world?,PAY-01;SP-04,Requested first-return reversal and portal-rule foundation.,"Sets and capture: coordinate-matched R1 rain and R2 ash ravine states with a fixed granite profile, waterfall, vegetation and tree-line variants. Blocking and effects: two controlled player-and-wolf crossings, matched thresholds and an audible rain-to-dry-wind transition."
SC-05,SQ-02,R2 Ash Echo ravine mouth and next projected threshold,R2 later the same personal day,Close protagonist,Turn repeated displacement into a reproducible test.,The protagonist now distrusts the portal but cannot remain indefinitely in the scorched echo.,Determine what persists and whether any action can mark a return path.,A reliable model is necessary before another crossing risks Moss and supplies.,The frame looks identical even though surrounding reality details differ.,Resource pressure and the portal's one-way behaviour.,"Record coordinates, place cobblestone outside the frame, sketch the granite seam and cross only after documenting the test.",The next mouth retains geography and frame form but not the adjacent cobblestone mark.,Whether a deliberately keyed frame can select a previous echo remains unknown.,Fear to methodical focus.,A marked portal foot match-cuts to clean natural stone beside the next mouth.,The missing mark supports separate stable realities.,The protagonist adopts an echo-chain model and searches for prior evidence.,The protagonist adopts an echo-chain model and searches for prior evidence.,"Has anyone, including another version of him, already tested the chain?",PAY-04,Evidence-led reality distinction and protagonist competence.,"Props and continuity: cobblestone marker placed outside the frame, clean unmarked counterpart, journal sketch and coordinate overlay. Capture: exact matched portal-foot compositions, controlled inventory state and a legible comparison that does not rely on narration."
SC-06,SQ-02,R3 Archive Echo survey recess,R3 during an unstable portal interval,Close protagonist and Moss,Establish the crying-portal deviation and give the final method a personal source.,The pair enter an echo containing a small abandoned recess near the same ravine wall.,"Find food, shelter and any record explaining the portals.",The portal plane is becoming unreliable and another blind crossing may strand them.,The only record is a damaged counterpart of the protagonist's own survey journal.,"Incomplete evidence, portal instability and an unseen counterpart's history.","Compare covers and symbols, read diagrams rather than prose and test the next-arrow notation against prior crossings.","The Weeping Atlas records one frame with many mouths, forward-only unanchored travel and a full-frame anchor route to the first threshold.","Who completed the Atlas, how that counterpart learned the rule and the missing safe blast distance remain unknown.","Isolation to uncanny recognition, then qualified hope.",The clean journal lies beside its weathered counterpart on matching ravine drawings.,The direct-hand anchor diagram offers a route but the safety page ends at a torn edge.,He takes the Atlas and chooses one more crossing when the mouth begins to fail.,He takes the Atlas and chooses one more crossing when the mouth begins to fail.,Can they reach a habitable echo and ever gather enough material for the keyed frame?,PAY-03;SP-05;SP-10,"Mechanism establishment, identity clue and actionable hope.","Set and props: R3 survey recess, clean journal and weathered Atlas with a small number of readable matching pages. Effects and blocking: unstable portal state, controlled player-and-wolf positions and insert-shot lighting. Cast restriction: no counterpart actor or additional voice."
SC-07,SQ-02,R4 north-wall cave and surface clearing,R4 late afternoon; personal order 3,Close protagonist and Moss,End the crossing cycle and force the pair to live in one reality.,They emerge through an unstable mouth with depleted supplies.,Secure the destination and relight a route before the field collapses.,Without a working mouth they cannot return to R0 or choose another echo.,The local field extinguishes and ordinary fire produces no reaction from the crying frame.,"Portal exhaustion, limited materials and approaching night.","Attempt a relight, compare the Atlas recipe, inventory missing resources and move to the safest nearby shelf.","R4 is habitable, but a full crying frame and anchor are the only recorded route away.",Whether the Atlas method works and what R0 moment it would select remain unknown.,Urgency to reluctant practical acceptance.,Purple light drains from the frame while Moss waits at the cave mouth.,The last ordinary relight attempt fails.,The pair are stranded and must build a life near the seam.,The pair are stranded and must build a life near the seam.,Can a place chosen by necessity become home?,SP-06,Structural transition from travel to settlement.,"Set and effects: distinct R4 surface, inert crying frame and visible collapse from unstable field to unlit blocks. Props and blocking: depleted inventory, Atlas comparison, ordinary-fire relight attempt and controlled Moss position under approaching-night light."
SC-08,SQ-03,"R4 west-rim house, ravine and nearby resources",R4 across several weeks; personal order 4,Close protagonist and Moss,"Create a lived home, establish the rug fire route and show patient portal preparation.",The pair have temporary shelter beside the dead mouth and no immediate route away.,Build a safe shared life while gathering the return materials gradually.,"The later fire and activation need ordinary causes, while Moss's loss matters only if R4 has become home.","The compact room places an open hearth near Moss's preferred warm floor, and crying obsidian is scarce.","Survival resources, domestic layout and incomplete portal knowledge.","Build stone around the flame, place a wool rug, feed Moss, use sit only for dangerous work, catalogue materials and sketch a blast baffle.","The cold-open house, rug, final inventory plan and Moss routine all arise through normal play.",The rug remains within a candidate fire-spread range and the final run will leave Moss there alone.,"Reluctance to humour, comfort and cautious future hope.",Moss repeatedly settles on the wool as the crying-block stack grows beside the Atlas.,The protagonist stops describing R4 shelter as temporary even while planning a route out.,Home and return preparation now coexist in the same room.,Home and return preparation now coexist in the same room.,Which commitment will control him if the two become incompatible?,SP-07;SP-08;SP-09,"Relationship, normality, fire setup and resource causality.","Sets and capture: staged R4 house progression, west-rim exterior and lived player-and-wolf routines. Props and continuity: stone open hearth, wool rug, Atlas, tracked crying obsidian and glowstone. Evidence requirement: target-version hearth-to-wool fire-spread testing before lock."
SC-09,SQ-03,R4 house and conventional supply route,R4 on the day of the fire,Close protagonist and Moss,Cause the protagonist's absence through the final portal requirement and preserve Moss's sit-state logic.,Only the last crying obsidian and glowstone remain missing from the Atlas plan.,Complete the inventory without taking Moss through the hazardous route.,"A complete supply allows eventual controlled activation, while the route risks ordinary mob and lava exposure.",The familiar safe waiting place is the wool rug beside a fireplace assumed to be contained.,"The material objective, hazardous route and hidden flammability.","Feed Moss, issue the sit command, check the stone surround, leave the permanent flame and make the final run.",Moss is deliberately left somewhere the protagonist has repeatedly treated as safe.,The exact moment the wool catches and Moss's eventual fate remain unseen.,Domestic confidence to quiet foreboding.,The door closes; the camera remains on Moss and the wool after footsteps fade.,A small fire spread begins after the protagonist is gone.,He returns carrying the materials seen in the cold open while the house has progressed into danger.,He returns carrying the materials seen in the cold open while the house has progressed into danger.,Will he reach Moss before the shared room is consumed?,PAY-08;PAY-09,"Absence cause, final inventory origin and fire ignition setup.","Conventional route shorthand, continuous inventory, sitting wolf, candidate loaded-area design and exact fire-spread timing subject to testing."
SC-10,SQ-04,"R4 burning house, burned clearing and surrounding paths",R4 night; personal order 5,Close protagonist,"Complete the cold open, establish Moss's absence and turn grief into the final objective.",The protagonist sees smoke while returning with the completed portal inventory.,"Reach Moss, then search every plausible nearby route.",The film must exhaust immediate care before the protagonist chooses cross-reality reversal.,"The fire has consumed the wool position, the room is empty and no response comes from the clearing.","Elapsed fire, Moss's sit state, collapsed sightlines and uncertainty.","Drop supplies, repeat the water and wall break, inspect the room, call outside, search paths and trace the burn fan back to the hearth.","The rug caught from the open flame, Moss is gone and the final portal materials survived outside after being dropped.",Whether Moss died or otherwise ceased to be present in R4 remains unconfirmed.,"Panic to disbelief, exhaustive care, grief and dangerous resolve.","The camera continues beyond SC-01's cut to an empty burned rug position, then follows the protagonist's search.",The Atlas diagram becomes the only evidence of a reality where Moss is certainly alive.,He carries the book and materials towards the ravine.,He carries the book and materials towards the ravine.,Can he open the route and survive its direct activation?,PAY-07;PAY-08;PAY-11;SP-13,"Cold-open resolution, fire causality, moral clarity and climax motivation.","Matched fire blocking, empty wolf position, exterior search, burned-state reset, no corpse or invented token and no claim of tested fire progression."
