setup_id,setup_beat_or_scene,setup,initial_audience_interpretation,payoff_id,payoff_beat_or_scene,payoff,planned_payoff_type,resolution_status,intentionally_open_reason,latest_acceptable_point,notes
"SP-01","SC-02;SC-04","The burned L-shaped foundation, granite notch, chest recess and pristine west shelf share exact geography.","The ruin belonged to whoever made the portal, while the earlier shelf offers a new start.","PAY-01","SC-05;SC-06","Terrain and efficient survival choices lead the protagonist to build the same cabin whose remains he saw.","reinterpretation","planned","","SC-06","Use matched coordinates and lenses; do not rely on narration alone."
"SP-02","SC-03","A complete active frame stands in a private region the protagonist has not previously visited.","The portal has an absent but unknown builder.","PAY-02","SC-10;SC-11","After Moss dies, the protagonist mines and places every block of the exact frame.","confirmation","planned","","SC-11","Builder identity must resolve through construction before the activation reversal."
"SP-03","SC-03","The frame has an asymmetrical cobblestone foot, exposed lava and a surviving spruce remnant.","They are rough repair, blast debris or accidental activation evidence.","PAY-03","SC-08;SC-11;SC-12","Water cooling creates the foot, the protagonist places the ignition cradle, and the blast releases lava to its surviving plank.","reinterpretation","planned","","SC-12","Every block requires an ordinary material origin and stable final coordinate."
"SP-04","SC-05","Moss routinely sits beside the bed only while the protagonist works near ravine lava.","It is a sensible command that keeps the wolf out of mining danger.","PAY-04","SC-07;SC-09","The same routine leaves Moss unable to self-evacuate while the protagonist begins below the burning cabin.","tragic_fulfilment","planned","","SC-09","No pen, doghouse, locked room or autonomous rule change may replace the sit mechanic."
"SP-05","SC-01","The cold open cuts as the protagonist reaches through fire towards Moss.","The rescue may still succeed because he clearly prioritises the wolf.","PAY-05","SC-09","The completed action reaches Moss after the terminal fire-damage interval.","tragic_fulfilment","planned","","SC-09","The cut withholds outcome honestly; narration cannot assert survival or death early."
"SP-06","SC-02;SC-07","A stone-clad interruption in the burned stair appears to have been a firebreak, while a stripped-log seam passes behind it in the intact build.","The stone should prevent lava fire from reaching the cabin.","PAY-06","SC-08;SC-09","Lateral lava reaches the concealed continuous support and bypasses the visible cladding.","tragic_fulfilment","planned","","SC-09","Mechanical geometry and visual legibility need target-version testing."
"SP-07","SC-01;SC-07","The protagonist carries one movable water source and packs to leave rather than defend the cabin.","Water may be sufficient because he has planned for the known hazard.","PAY-07","SC-09","He spends the water solely on reaching Moss, but separated fire and distance consume the available time.","character_choice","planned","","SC-09","The limitation is coverage and timing, not an invented ban on collecting water."
"SP-08","SC-08","Cooling the shelf produces local obsidian while the future portal frame remains absent.","The blocks may offer a controlled route home after the hazard is removed.","PAY-08","SC-10;SC-11","He carries the same mined obsidian into the cave and builds the remembered economical frame.","confirmation","planned","","SC-11","No obsidian or other physical material is bootstrapped."
"SP-09","SC-03;SC-11","The opening portal cave has a dark lateral branch and the later rescue water washes its torch away.","The darkness is minor environmental continuity.","PAY-09","SC-11","A creeper approaches through that branch while the protagonist watches the ignition cradle.","escalation","planned","","SC-11","Confirm approach and light-level logic; do not assert an untested spawn beside the player."
"SP-10","SC-03","No body or meaningful dropped token remains beside the opening blast cavity.","The builder may have escaped or left no useful evidence.","PAY-10","SC-11;SC-12","The creeper kills the protagonist and ordinary drops are consumed by nearby lava or fire before the later discovery.","reinterpretation","planned","","SC-12","Do not invent a wolf collar drop, corpse object or non-vanilla clue."
"SP-11","SC-03","The opening frame is active despite blast damage and no surviving flint-and-steel evidence.","The explosion may seem to have lit it directly.","PAY-11","SC-12","The blast breaks the retaining lip; lava ignites remaining spruce and a later fire block activates the frame.","confirmation","planned","","SC-12","Explicitly preserve the distinction between explosion, geometry change, fire spread and portal activation."
"SP-12","SC-03;SC-04","An ordinary-looking frame routes the protagonist to the same ravine before the frame exists.","The builder reveal may also explain where the temporal design originated.","OPEN-01","SC-12","The protagonist is the physical builder and activator, but the first external origin of the copied temporal routing remains unanswered.","reinterpretation","intentionally_open","The information loop supports the authorship mystery and is not needed to explain materials, fire, death or activation.","SC-12","Open status remains unlocked pending human approval."
