beat_id,sequence_id,order,actor_id,attempt,interference,change,next_cause,purpose,reveal,visual,audio,estimated_seconds,dependency
"BEAT-01","SQ-01","1","PROTAGONIST","Return through the burning house and reach Moss.","The fire has already reached the wool rug and shared room while Moss is unseen.","He drops valuable portal materials, sends water towards the room and breaks in before the film cuts.","CE-07","Open with loss, action and an honestly withheld outcome.","The protagonist values Moss above the house and has returned carrying crying obsidian and glowstone.","Purple materials hit the ground as water crosses the burning rug.","Fire and block breaking overtake one short narration line.","35","SC-01"
"BEAT-02","SQ-01","2","PROTAGONIST","Survey a new clearing and decide whether it can become home.","The ravine is remote, but water, timber and shelter make it promising.","Moss sits at the overlook, the protagonist records the place and decides they can stay.","CE-01","Establish the relationship, blank journal and surface image later reinterpreted by the ending.","The pair arrive together and the ravine symbol belongs to the protagonist's ordinary notation.","Morning wide shot, Moss at the ledge and a clean journal page.","The repeated line about Moss's vote plays over quiet ambience.","55","SC-02"
"BEAT-03","SQ-01","3","PROTAGONIST","Identify the portal hum and test the impossible frame.","The crying-obsidian frame is complete and active despite no local path, mine or builder evidence.","Observation cannot explain it, so he leads Moss through.","CE-02","Honour the portal promise through accountable curiosity.","The private unvisited ravine contains a portal that cannot be an ordinary Nether frame.","Hand, wolf and purple plane share the threshold before the transition.","Portal hum replaces narration at the decision.","70","SC-03"
"BEAT-04","SQ-02","4","PROTAGONIST","Orient in the Rain Echo and return to R0.","The same stone profile exists beneath incompatible water, weather and vegetation.","He explores, confirms the coordinates and re-enters the portal, only to emerge in the Ash Echo.","CE-02","Deliver the requested confusion, exploration and failed return.","A crying portal is not reversible through immediate re-entry.","The granite seam matches while a waterfall and scorched horizon replace the clearing.","Rain cuts abruptly to dry wind after the second transition.","85","SC-04"
"BEAT-05","SQ-02","5","PROTAGONIST","Test whether the destination is another reality or a changing version of one world.","The frame persists, but local details contradict the previous echo.","He places a cobblestone mark beside the mouth, records it and finds it absent after the next crossing.","CE-03","Turn disorientation into an audience-readable experiment.","Adjacent matter stays with its reality while matching coordinates and frame geometry recur.","A clean matched close-up replaces the marked portal foot.","Pick-up and placement sounds create the comparison without explanatory dialogue.","65","SC-05"
"BEAT-06","SQ-02","6","PROTAGONIST","Search the Archive Echo for food, shelter and portal evidence.","An abandoned survey recess contains a damaged book that looks like his own journal.","Matching symbols and diagrams identify the Weeping Atlas and the one-way next-arrow rule.","CE-04","Establish the invented crying-frame mechanism through personal evidence.","A full frame plus direct anchor discharge may reach the traveller's first threshold, but the safety measurement is missing.","Clean journal and weathered Atlas lie open on matching ravine symbols.","Page turns, distant portal instability and sparse narration carry the discovery.","100","SC-06"
"BEAT-07","SQ-02","7","PROTAGONIST","Reach a habitable echo before the Archive mouth fails.","The portal plane flickers and the surrounding reality offers no safe long-term shelter.","He crosses with Moss, reaches R4 and cannot relight the extinguished local mouth.","CE-05","End uncontrolled travel and force life in one reality.","The Atlas describes a possible return, but he lacks a frame, anchor and materials.","Purple light collapses to an inert crying outline as flint produces no response.","Portal sound drains into ordinary ravine ambience.","60","SC-07"
"BEAT-08","SQ-03","8","PROTAGONIST","Turn the R4 shelter into a shared home beside the only known seam.","The compact footprint demands a fireplace near the main room, and Moss repeatedly chooses the warm floor beside it.","He surrounds the flame with stone but places a wool rug inside its potential spread range.","CE-05","Make the home, Moss routine and fire cause one continuous visual choice.","The cold-open house and rug arise from care rather than decorative coincidence.","Moss settles on fresh wool while the stone hearth burns behind it.","Building rhythm, feeding and domestic fire replace heavy narration.","120","SC-08"
"BEAT-09","SQ-03","9","PROTAGONIST","Prepare the first-threshold method without risking an incomplete activation.","A full crying frame and charged anchor require more materials than he has.","He gathers gradually, studies the torn blast page and plans one final supply run.","CE-06","Give the final inventory an ordinary origin and contrast patience with later haste.","He understands that activation is dangerous before Moss disappears.","Crying blocks, glowstone slots and a rough stone-baffle sketch accumulate beside the Atlas.","Measured inventory sounds support restrained explanation.","85","SC-08"
"BEAT-10","SQ-03","10","PROTAGONIST","Collect the remaining crying obsidian and glowstone without exposing Moss to the dangerous route.","The open hearth is left burning and Moss's familiar safe command position is the wool rug.","He seats Moss, leaves through the conventional supply route and returns carrying the final materials.","CE-06","Join the portal plan, absence and fire setup through one responsible-looking decision.","The exact conditions of the cold open are now in place.","The door closes on Moss beside the hearth; the shot holds after the protagonist leaves.","Footsteps fade until only the fire remains.","60","SC-09"
