event_id,order,summary,cause_ids,cause_type,actor_id,goal,decision,consequence,state_change,new_information,audience_effect,dependent_event_ids,counterfactual_result,deletion_impact,production_note
"CE-01","1","The protagonist and Moss reach an untouched clearing above an unvisited ravine, choose it as a possible home and discover an active crying-obsidian frame below.","","initial_state","PROTAGONIST","Establish a safe stopping place and account for the impossible portal hum.","He records the clearing in his survey journal and descends with Moss instead of ignoring the contradiction.","The pair confront a constructed threshold with no local builder or approach route.","Routine exploration becomes a shared authorship mystery.","A crying-obsidian portal is active where no ordinary portal should exist.","Warmth from the apparent beginning acquires an immediate layer of unease.","CE-02|CE-10","pass","Without the chosen clearing and impossible frame, there is no threshold, title question or surface image for the ending to reinterpret.","Reserve the exact surface composition, blank journal, ravine seam and portal cave for later matches."
"CE-02","2","They enter the portal, explore the Rain Echo and re-enter expecting to return, but arrive in the Ash Echo instead.","CE-01","prior_event","PROTAGONIST","Verify the destination and take Moss back to the clearing they left.","After matching the ravine geography, he treats the same frame as a reversible door and crosses again.","The attempted return becomes a second displacement.","Curious traveller becomes unwilling echo traveller.","Re-entry does not undo a crying-portal crossing.","Confusion sharpens into the story's governing threat.","CE-03","pass","Deleting the failed return removes the user-requested reversal and leaves later one-way knowledge unearned.","Use identical granite and stone profiles with clearly incompatible rain, water and surface states."
"CE-03","3","The protagonist marks successive mouths and confirms that each crossing enters a distinct reality of the same place.","CE-02","prior_event","PROTAGONIST","Replace panic with a testable model and avoid losing orientation.","He places a cobblestone mark beside one frame, records coordinates and crosses when the current echo becomes unsafe.","The next mouth has the same frame and coordinates but not the adjacent mark.","Displacement becomes an evidence-led echo model.","Portal-adjacent blocks belong to individual realities while the ravine geometry persists.","The audience can anticipate further realities without treating them as arbitrary spectacle.","CE-04","pass","Without the marking test, the Atlas supplies a rule the protagonist has not earned and the realities could be read as changing time states.","Keep the mark outside the frame and repeat its absence in a clean matched insert."
"CE-04","4","In the Archive Echo he finds the Weeping Atlas, then takes one final uncontrolled crossing into R4 where the local mouth closes.","CE-03","prior_event","PROTAGONIST","Learn whether any crossing can reach the first threshold and escape the failing echo.","He compares the older journal with his own, takes it and trusts its next-arrow warning when the portal destabilises.","He and Moss reach a habitable reality but cannot relight the dead mouth with ordinary fire.","Systematic traveller becomes informed but stranded settler.","A full crying frame keyed by a direct respawn-anchor discharge may reach the traveller's first threshold.","Explanation creates hope while the torn blast page preserves danger.","CE-05|CE-08","pass","Deleting the Atlas removes the established crying-frame deviation, the final construction basis and the journal pay-off.","Use a few legible diagrams, a matching journal prop and an inert R4 portal state; do not claim the rule is vanilla."
"CE-05","5","The protagonist and Moss settle beside the R4 ravine, build a house and establish a wool-rug routine beside an open fireplace while gathering portal materials slowly.","CE-04","prior_event","PROTAGONIST","Make a safe life without abandoning the possibility of a prepared return.","He remains near the only known seam, builds a stone-surrounded hearth and places a wool rug where Moss prefers to sit.","Enforced settlement becomes a valued home with a concealed flammable adjacency.","Stranding becomes attachment and long-term preparation.","The household seen burning in the cold open arises from ordinary shared choices.","Relief and affection make the latent fire route emotionally costly.","CE-06","pass","Without home life and the rug routine, the fire and Moss's absence are merely plot mechanisms.","Capture construction, feeding, follow and sit behaviour; test the exact hearth-to-wool range before lock."
"CE-06","6","He leaves Moss sitting on the rug during a final material run, and fire spreads from the open hearth into the wool while he is away.","CE-05","prior_event","PROTAGONIST","Obtain the last crying obsidian and glowstone required for a full frame and anchor.","He treats the stone fireplace as contained, leaves its permanent flame burning and keeps Moss home from the dangerous route.","The rug ignites and carries fire into the timber interior before he returns.","Patient portal preparation becomes immediate domestic danger.","The fire comes from the affectionate rug placement and ordinary absence, not an echo force.","The cold-open disaster becomes traceable before its completed outcome is shown.","CE-07","pass","Without the supply decision and material path, the fire is arbitrary and his final inventory lacks an origin.","Design the route or simulation conditions so the house can progress to the planned state; verify in the target version."
"CE-07","7","The protagonist returns, completes the cold-open rescue route and finds Moss gone despite searching the house and surrounding paths.","CE-06","prior_event","PROTAGONIST","Reach Moss without spending time on possessions or structural defence.","He drops the portal materials, directs water and block breaking towards the shared room, then searches beyond the burned shell when the rug position is empty.","The house is lost and Moss's R4 fate becomes an unresolved absence.","Home and companionship become grief and uncertainty.","The wool rug was the fire's first vulnerable block and Moss is no longer present in the reality the protagonist can inspect.","The withheld cold-open outcome resolves as absence rather than an invented body or token.","CE-08","pass","Deleting the failed search removes the emotional cause of immediate activation and risks making the protagonist abandon Moss too quickly.","Stage the same cold-open actions, an empty sitting position and a credible external search; no death message or collar object."
"CE-08","8","Using the Atlas and the materials brought home, he builds a complete crying-obsidian frame at the R4 ravine seam.","CE-04|CE-07","parallel_cause","PROTAGONIST","Open a route to the first threshold where Moss is certainly alive.","He stops treating the frame as a future project and reconstructs the Atlas geometry immediately after the search fails.","The final frame reproduces the impossible portal composition from R0 and a charged anchor is placed within it.","Grief becomes committed cross-reality action.","The protagonist is the material builder of the connected portal found at the beginning.","The title mystery resolves while activation danger remains.","CE-09","pass","Without his construction choice, the initial portal has no dramatic author and the final materials have no pay-off.","Show every crying block, the exact ravine coordinates, anchor placement and incomplete stone baffle."
"CE-09","9","The protagonist directly discharges the respawn anchor; the explosion kills him and the crying portal activates after the blast.","CE-08","prior_event","PROTAGONIST","Key the completed frame to his first threshold and cross before the discharge reaches him.","He accepts the incomplete safety evidence and triggers the anchor by hand rather than delaying for a tested method.","He dies before crossing, but the frame forms a stable portal plane through the smoke.","Hopeful builder becomes absent builder; inert frame becomes active connection.","The opening portal's activation and the protagonist's final absence share one chosen cause.","Success and death arrive in the wrong order, completing the tragedy.","CE-10","pass","Without the direct discharge, neither the explicit death nor the active final portal is caused by the protagonist's value choice.","Verify candidate anchor blast behaviour separately from the fictional crying-frame activation effect."
"CE-10","10","The camera crosses the lit frame and rises into R0 as the earlier protagonist and Moss choose the clearing above it as home.","CE-01|CE-09","parallel_cause","PROTAGONIST","In the revealed earlier moment, mark the new place and stay with Moss.","The earlier protagonist opens his blank journal, records the ravine and chooses to investigate the hum below.","The apparent beginning is identified as the final portal's receiving reality and the first decision leads towards the same journey.","Linear presentation closes into a cross-reality loop.","The R4 frame projects the R0 portal, the blank journal precedes the Atlas and the pair are about to find the threshold.","Tragic death gives way to tenderness, recognition and inevitable continuation.","","pass","Without the vertical reveal and repeated decision, the portal destination, journal image and requested loop remain incomplete.","Use an omniscient through-ground transition, the exact SC-02 surface composition and repeated audio rather than implying player survival."
