location_id,name,story_function,hero_angle,modular_elements,lighting_state,completion,notes
LOC-001,MATCH PATH ridge and homestead approach,Joins the R4 emergency to the lone R0 arrival,Locked view down the shared direction of travel,Ridge path; distant homestead; cargo mark; smoke layer,R0 morning and R4 fire night,not_started,Use one camera transform and path line for Scenes 1 2 and 10.
LOC-002,R0 clearing and overlook,Earns the chosen home and established pair before mining,Wide overlook framing water birches grass and ravine,Fresh clearing; starter shelter; crops; cow pen; fishing bank,R0 morning and passage of days,not_started,MATCH FRAME A belongs here only after Moss is tamed named and established.
LOC-003,Master ravine and granite-seam corridor,Provides the repeatable coordinate across every echo,Consistent seam profile with the iron route continuing beyond it,Water descent; granite seam; exposed iron turn; portal chamber,Neutral master daylight reference,not_started,Approve and back up before echo-specific dressing.
LOC-004,R1 Rain Echo,Proves the destination view was truthful while surface history is wrong,Matched seam and frame composition with waterfall visible,Waterfall; roof opening; dense vegetation; single marker,Rainy day,not_started,Do not rely on colour grading. Test weather through the portal.
LOC-005,R2 Ash Echo,Turns the failed return into a marker experiment,Matched frame-foot close-up and recognisable ravine profile,Ash drift; scorched tree line; exposed shelf; L marker,Overcast late day with dry wind,not_started,The R1 marker is absent and the R2 marker is captured before crossing.
LOC-006,R3 Archive Echo,Organises evidence through the weathered counterpart journal,Compact recess beside the matching portal foot,Desk; protected drawer; storage; familiar torch side; gravel stair,Dusk,not_started,Keep the recess small and separate portal-failure plates from readable inserts.
LOC-007,R4 fresh surface and first shelter,Replaces travel with an immediate shelter decision,Wide surface view connected to the dead-mouth marker,Clean water; timber; surface marker; first-roof modules,Morning to first night,not_started,Preserve this state before homestead growth.
LOC-008,R4 homestead shared room and search routes,Builds home then supplies the fire cause absence and search,Locked domestic wide including fireplace rug and shortest wall,Replaceable rug squares; stone hearth; timber floor; removable wall; search routes,Seasonal passage fire night and search dawn,not_started,Maintain separate lived burning and burned states and reveal nothing conclusive about Moss.
LOC-009,R4 conventional portal approach,Establishes the supply routine and origin direction for Scene 1,Medium two-shot at the ordinary obsidian threshold,Ordinary portal; shelter edge; Moss return mark,Day and night return direction,not_started,Use familiar audio distinct from the echo-frame texture.
LOC-010,R4 final frame chamber and creeper ledge,Answers the construction mystery and stages the fatal interruption,Wide frame-and-baffle axis with a connected ledge behind ignition position,Incomplete mouth; completed frame; charged anchor; baffle; ledge; aftermath,Day-to-night and smoky post-blast night,not_started,Validate reach route fall blast and surviving-frame plates independently.
LOC-011,Scene 13 vertical transition modules,Connects the active frame to MATCH FRAME A as audience presentation,Matched upward axis through stylised stone and soil,Stone layers; soil layers; seam transition; surface exit,Mine darkness into R0 morning,not_started,Never present the movement as the protagonist's post-death viewpoint.
