scene_id,sequence_id,location,time,pov,scene_purpose,entry_state,objective,reason_objective_matters,obstacle,opposing_agent,tactics,information_revealed,information_withheld,emotional_progression,visual_event,turn,outcome,exit_state,new_question,setup_or_payoff,story_value,production_requirements
"SC-01","SQ-01","West-rim homestead, wolf pen and ravine stair","World W2 at dusk; personal order 1","Close protagonist","Establish authored normality, the wolf bond, fire geography and small unexplained details.","The protagonist believes the private world is fully known and secure.","Finish chores, seat the wolf and descend before night.","The routine defines what home means and proves which changes he normally controls.","An incomplete red wool line and unexpected glow create low-level uncertainty.","Unexplained evidence rather than a person.","Inspect briefly, rationalise the wool as an old marker and continue the routine.","No other player should have altered the world; the wolf waits when seated; timber passes above lava at a visible gap.","The wool was placed by his travelling self and the portal has just been built below.","Ease to faint unease.","The wolf sits beside the intact house as purple light pulses under the ravine lip.","The portal sound is unmistakable and new.","He leaves the wolf and descends.","Curiosity has displaced routine caution.","What is producing a portal sound in the known-empty cave?","SP-04;SP-06;SP-07;SP-09","Bond, authorship and geography earn the threshold.","Intact homestead state, controllable wolf seating, lava glimpse and repeatable descent angle."
"SC-02","SQ-01","North-wall portal cave","World W2 at dusk; personal order 2","Close protagonist","Pose the title mystery and make entry consequential.","He expects an environmental oddity, not deliberate construction.","Identify the builder without crossing.","A constructed object in a private world challenges his most reliable knowledge.","The frame is complete, lit and made from resources he did not place here.","The portal and the protagonist’s uncertainty.","Check inventory, chest, block faces, asymmetrical footing and reversed torch.","The frame is deliberate and contains familiar but non-exclusive habits.","The builder is his later self and the route leads to World W4.","Unease to chosen fear and curiosity.","His hand traces the odd cobblestone base before entering the purple plane.","No ordinary explanation survives, so he steps through.","He reaches the burned version of the same cave exit.","He has surrendered temporal certainty by choice.","When and where has the portal taken him?","SP-01;SP-03;SP-11","Inciting agency and fair mystery evidence.","Portal hero set, matched frame details and a controlled intact-to-burned transition."
"SC-03","SQ-02","Burned homestead and wolf pen","World W4 at dawn; personal order 3","Close protagonist","Convert temporal mystery into personal loss while proving spatial continuity.","He has arrived somewhere impossible but still expects a route home.","Reach the house and find the wolf.","The wolf is the only living relationship attached to the threatened home.","Familiar paths are damaged, the house is burned and the pen is empty.","Aftermath, incomplete evidence and time displacement.","Match landmarks, inspect block scars and search the pen without assuming a body exists.","The ravine and house are the same location after one destructive event.","The wolf has already escaped with his later self; the exact cause and date remain unknown.","Disorientation to dread.","An intact stone drain leads past an open empty pen beneath the collapsed roof.","Movement on the eastern ridge suggests another survivor or culprit.","He abandons the search pattern and pursues.","Loss now has an apparent agent.","Who is the ridge figure, and what happened to the wolf?","SP-02;SP-08;SP-10","Spatial proof, emotional stake and pursuit propulsion.","Burned-state rebuild, matched camera positions, empty pen without false death evidence."
"SC-04","SQ-02","Eastern ridge and surviving portal cave","World W4 at dawn; personal order 4","Close protagonist with distant silhouette","Seed the self-identity clue and motivate the second transit.","He believes the figure may explain or have caused the ruin.","Catch the figure, then use the portal if pursuit fails.","Without an answer, the wolf’s absence appears final.","The ridge conceals the lower path and the figure stays beyond identification distance.","The later protagonist deliberately managing what his earlier self sees.","Sprint along the upper path, track a newly placed torch, then return to the only functioning route.","The figure knows the same two-crouch orientation habit and left-wall placement.","The wolf is below the ridge and the figure is the protagonist after rescue.","Suspicion to frustrated resolve.","The silhouette crouches twice, places a torch and vanishes beyond the crest.","A second crossing ejects him in front of bare rock with no portal frame.","He is stranded before the construction event.","A possible retry becomes a past-state trap.","Can he warn his younger self without erasing the route home?","SP-05;SP-11","Active mystery pursuit and temporal reversal.","Distant duplicate plate, terrain occlusion and transient frame-less exit effect."
"SC-05","SQ-03","Bare north-wall cave and ravine overlook","World W1 shortly before discovery; personal order 5","Close protagonist","Prove past placement and establish the double-self constraint.","He hopes he has returned to a correctable earlier state.","Date the world and locate an exit.","He needs to know whether action can prevent the fire.","The frame is absent and approaching sounds make open movement risky.","The younger protagonist’s ordinary route and the older self’s fear of contact.","Compare missing blocks, inspect undamaged supports and observe from cover.","This is the same world shortly before his discovery; the younger self and wolf are alive above.","The older self has not yet accepted that he built the portal or caused the fire.","Hope to stunned recognition.","Bare wall occupies the exact outline of the remembered portal while the younger avatar crosses above.","The wolf sits beside the younger self, within sight but not safely reachable unseen.","He chooses concealment and begins planning an indirect warning.","Opportunity is constrained by self-contact.","What warning can help without making the younger self avoid the portal?","PAY-02;SP-04","Rules out copies and activates internal opposition.","Bare cave state, precise portal outline reference and separated-avatar blocking."
"SC-06","SQ-03","Homestead perimeter, supply barrel and eastern drain","World W1 shortly before discovery; personal order 6","Close older protagonist with younger self kept at distance","Make intervention, memory and concealment one causal action.","He wants to move the wolf but fears changing the younger self’s decision.","Leave a usable warning without revealing another human presence.","He believes the portal journey may be the only source of successful foreknowledge.","The younger self stays nearby and an explicit sign would expose outside agency.","The approaching younger self and the protagonist’s own protective secrecy.","Take three local red wool blocks, start a route towards the drain and stop before forming an arrowhead.","He created the unexplained strip shown in the opening.","Whether direct honesty would have produced a better response remains unknowable.","Urgency to claustrophobic self-recognition.","The fourth wool block remains in hand as approaching footsteps force him behind the wall.","The incomplete pattern exactly matches his memory.","He accepts that intervention can be part of established history.","Hope of simple warning becomes responsibility for causality.","If he made this clue, did he also make the portal?","PAY-04;SP-06","First decisive proof of the self-consistent model.","Exterior barrel continuity, three-block pattern and clear drain direction without text exposition."
"SC-07","SQ-03","Lava shelf and portal cave","World W1 approaching dusk; personal order 7","Close protagonist","Turn the builder inference into a voluntary structural commitment.","He is stranded with an ambiguous warning and little time.","Find a way to ensure his younger self gains useful knowledge.","Without the journey, he has no evidence that anyone reaches the fire with a rescue plan.","No frame or exit exists, and direct confrontation may prevent entry.","The younger self’s countdown and the protagonist’s need for control.","Compare the remembered footing with the lava shelf, inventory tools and the frame outline.","Local lava can supply ordinary obsidian; the remembered irregularities are reproducible actions.","The first cause of the temporal property remains unknown.","Resistance to sober commitment.","He places a temporary outline where the impossible frame stood.","He chooses to become its builder rather than wait for history to compel him.","The title mystery has an intended answer but not yet a completed action.","Can he finish without creating the ruin he saw?","SP-01;SP-03;SP-07","Major agency decision and ending preparation.","Readable resource plan, countdown sight line and no invented material appearance."
"SC-08","SQ-04","Lava shelf and north-wall portal cave","World W1 into W2; personal order 8","Close protagonist","Pay off construction clues while planting the ordinary destruction chain.","He has committed but lacks portal materials.","Mine, assemble and light the frame before the younger self descends.","The foreknowledge-producing entry depends on physical completion.","Awkward lava access, limited time and the need to reach the upper frame encourage temporary staging.","Terrain, resources and the approaching younger self.","Cool and mine local obsidian, use spruce staging, copy the asymmetrical footing and place the reversed torch.","The protagonist physically creates every portal clue from practical decisions.","The staging’s precise ignition behaviour and the approaching fire remain unseen.","Purposeful control to unease at the exact match.","Water leaves an irregular cobblestone foot; the lit frame repeats the opening composition from behind.","The solved mystery and the hazardous timber connection are the same construction act.","The portal waits for the younger self while the older self hides.","Achievement now contains an unrecognised cost.","Will he interrupt the entry when he sees it from the other side?","PAY-01;PAY-03;SP-07","Mystery resolution, Minecraft causality and latent reversal.","Local obsidian montage, exact frame continuity and candidate staging geometry reserved for testing."
"SC-09","SQ-04","Portal concealment ledge and ravine stair","World W2 at dusk; personal order 9","Older protagonist observing younger self","Reframe the opening and make silence a consequential choice.","The portal is complete and the younger self is approaching.","Ensure entry occurs without being discovered.","He believes the journey is necessary for the later rescue chance.","He can still speak, appear, break the frame or let the event proceed.","The younger self’s hesitation and the older self’s fear of losing foreknowledge.","Remain concealed, watch the inspection and refuse the impulse to warn.","The unknown builder witnessed the opening and chose not to identify himself.","The extent of the fire and wolf’s exact danger remain unknown.","Tension to guilt and alarm.","The opening blocking repeats from the opposite side; an ember then appears along the staging.","Smoke rises immediately after the younger self crosses.","The older self races towards the homestead instead of entering again.","The causal loop becomes an active survival crisis.","Can foreknowledge save both the house and the wolf?","PAY-01;SP-10","Accountability, recontextualisation and climax launch.","Eyeline match, concealed-camera angle, initial fire stage and no required same-frame close duplicate."
"SC-10","SQ-05","Homestead undercroft, stair and roof","World W3 at night; personal order 10","Close protagonist","Expose the ordinary cause and make resource allocation irreversible.","He knows the ruin but still believes preparation can preserve the house.","Break the fire route and extinguish every front.","The house contains his work, supplies and identity as an author.","Fire has reached separated supports; one water source must be moved rather than covering all fronts.","Spreading fire enabled by his staging and his attachment to structural completeness.","Break stair blocks, move water across the roof and trace the flame down to the spruce connection.","His hurried portal construction supplied the fire bridge.","The wolf’s survival remains possible until its cry redirects attention.","Determination to causal guilt and panic.","A roof section falls while the water runs harmlessly past another burning front.","The wolf cries from behind the closed pen and the route begins to close.","He stops treating the whole structure as a winnable objective.","Saving both has become physically incredible.","Which objective will receive the water and remaining seconds?","PAY-07;SP-09","Ordinary cause confirmation and forced climax choice.","Mechanically tested staged burn, safe reset plan, clear undercroft geography and controlled wolf audio."
