source_id,claim,url,publisher,published_date,accessed_date,source_type,reliability,status,notes
SRC-001,"In a single-past model, a time traveller cannot make the past different but may participate in the events that made it so.",https://plato.stanford.edu/entries/time-travel/index.html,"Metaphysics Research Lab, Stanford University",2024-03-22,2026-07-15,specialist_reference,B,supported,"Substantive revision date recorded. Used as a philosophical model for fictional consistency, not as proof that physical backwards time travel exists."
SRC-002,"The proposed self-consistency principle requires local events in a closed-timelike-curve model to fit a globally consistent solution.",https://authors.library.caltech.edu/records/aw0a8-ps286,"Physical Review D / American Physical Society",1990-09-15,2026-07-15,primary_research,A,supported,"Primary theoretical physics paper archived by Caltech; DOI 10.1103/PhysRevD.42.1915. Its conditional model does not establish that practical time travel is physically achievable."
SRC-003,"Immersive Portals allows players to see through portals and cross them seamlessly; it supports portals connecting dimensions.",https://modrinth.com/project/zJpHMkdD,"qouteall / Modrinth",,2026-07-16,official_project_page,A,supported,"Project page. Apache-2.0 licence. Establishes the base rendering and traversal capability, not compatibility with the other candidate mods."
SRC-004,"The command /portal set_portal_destination <dimension> <x> <y> <z> assigns an exact destination dimension and position; connected portal entities can be removed to leave a one-way portal.",https://qouteall.fun/immptl/wiki/Commands-Reference.html,"Immersive Portals official wiki",,2026-07-16,official_documentation,A,supported,"Used for the proposed same-coordinate echo chain. Command behaviour still requires an in-build test."
SRC-005,"Multiworld can create and teleport to multiple worlds; /mw create accepts generator and seed arguments, and portals may target a world or exact coordinates.",https://github.com/IsaiahMC/multiworld,"IsaiahMC",,2026-07-16,official_repository,A,supported,"Repository README documents /mw create myLovelyWorld NORMAL -g=FLAT -s=1234 and exact-coordinate portal destinations. LGPL-3.0 licence."
SRC-006,"Multiworld 1.12 is a Fabric beta release listing Minecraft 1.20.1 compatibility.",https://modrinth.com/mod/multiworld/version/NfNQTHy9,"Isaiah / Modrinth",2025-12-21,2026-07-16,official_release_page,A,supported,"Candidate release only. Required libraries and interoperability with Immersive Portals must be resolved and tested in the clean profile."
SRC-007,"Dimensional Weather exists to permit dimension-specific weather conditions rather than sharing overworld weather state.",https://modrinth.com/project/Z8Eq3K2Z,"crafter312 / Modrinth",,2026-07-16,official_project_page,A,supported,"MIT-licensed lightweight fix for dimension-specific weather. Does not itself prove portal-view rendering."
SRC-008,"Dimensional Weather 1.1-1.20.1 supports Minecraft 1.20.1 on Fabric and Quilt.",https://modrinth.com/mod/dimensional-weather/version/1.1-1.20.1,"crafter312 / Modrinth",2024-06-20,2026-07-16,official_release_page,A,supported,"Candidate Fabric release. Client-and-server environment. Exact dependency versions must be resolved during installation."
SRC-009,"A copied Minecraft Java Edition seed can be used to create new worlds from the same base map.",https://help.minecraft.net/hc/en-us/articles/34467817926925-How-to-Find-Your-World-Seed-in-a-Minecraft-Java-Edition-Realm,"Mojang Studios / Minecraft Help",,2026-07-16,official_documentation,A,supported,"Supports using one seed as the common geographic base. Exact matching still assumes the same version, generator and generation-affecting configuration."
SRC-010,"Mojang describes seeds as numbers Minecraft uses to reliably generate a world, producing the same world when the same seed is reused.",https://www.minecraft.net/es-es/article/speedrunning-minecraft,"Mojang Studios",2018-02-17,2026-07-16,official_article,A,supported,"Used only for the deterministic base-world principle. Production will retain a clean master because generation configuration can alter results."
SRC-011,"Immersive Portals 5.2.0 is listed as a release for Minecraft 1.20.1 Fabric and uses the Apache-2.0 licence.",https://www.curseforge.com/minecraft/mc-mods/immersive-portals-mod/files/7247098,"qouteall / CurseForge",2025-11-21,2026-07-16,official_release_page,A,supported,"Candidate version for the proof of concept. The release page notes updated Sodium and Iris compatibility; the complete production stack remains untested."
