info_id,question_or_fact,audience_knows_before,audience_expects_before,character_knowledge_before,delivery_beat_or_scene,audience_knows_after,audience_expects_after,emotional_orientation_after,withheld_or_revealed,fairness_setup_ids,payoff_or_resolution_id,notes
"INF-01","What happened to Moss in the cold-open fire?","The protagonist returns to a burning shared home and directs every action towards Moss before the scene cuts.","Moss may still be in the room and reachable.","The protagonist knows Moss was left sitting on the rug but has not yet seen the room.","SC-10","The sitting place is empty, the surrounding search fails and Moss is gone from observable R4.","The protagonist will seek a reality in which Moss is certainly alive, but the exact R4 fate may remain unseen.","Loss, uncertainty and sympathy without a false property dilemma.","withheld","SP-11|SP-13","OPEN-01","The film supplies absence rather than a corpse, collar object or unshown claim of survival."
"INF-02","Where does the first portal crossing lead?","The active frame sits beneath a recognisable R0 ravine.","It may lead to the Nether, another location or another state of the same world.","The protagonist has no tested model and expects ordinary portal logic to be relevant.","SC-04","Matching granite and coordinates exist beneath incompatible natural history in R1.","Re-entry appears likely to return to R0 until the next transition disproves it.","Disorientation mixed with spatial recognition.","revealed","SP-01|SP-02","PAY-01","Geography establishes place before the story names realities."
"INF-03","Are the destinations different realities rather than changing times or resets?","R1 and R2 share geography but have incompatible water and surface states.","The portal may be cycling one mutable world.","The protagonist suspects an ordered chain but lacks a persistent test.","SC-05","A cobblestone mark placed beside one mouth is absent beside the next while coordinates and frame geometry persist.","The audience expects stable echoes with local block histories.","Methodical recognition replaces arbitrary uncertainty.","revealed","SP-01|SP-04","PAY-04","The Atlas later labels a model already supported by action."
"INF-04","Why can the protagonist not simply go back or keep crossing?","The first return attempt advances and successive mouths follow the same pattern.","A later mouth might eventually cycle back to R0.","The protagonist knows only that each observed crossing has moved forwards.","SC-06;SC-07","The Atlas records a forward-only unanchored chain, and the R4 mouth closes before another crossing is possible.","A deliberately keyed full frame becomes the only proposed route to the first threshold.","Knowledge provides hope while stranding becomes real.","revealed","SP-04|SP-05|SP-06","PAY-06","The rule is fictional canon and remains subject to human approval."
"INF-05","Who created the Weeping Atlas?","The protagonist carries a clean journal with a distinctive ravine symbol and repaired corner.","Any portal explanation may come from an unknown prior traveller.","He knows his own notation and has not seen another person.","SC-06;SC-13","The Archive book is an older counterpart of his journal, and the final R0 image repeats its clean beginning.","Another echo of the protagonist is the strongest inference, but its exact experimental history remains open.","Personal uncanniness rather than external lore exposition.","revealed","SP-03","PAY-03","No counterpart appears or speaks; only the document and final prop support the inference."
"INF-06","What starts the house fire?","The house has a stone-surrounded open hearth and Moss routinely sits on a wool rug beside it.","The stone may appear to make the fireplace safe.","The protagonist believes the permanent flame is contained.","SC-09;SC-10","Fire spreads from the open hearth to wool within range, then from the rug into the timber room while he is away.","The audience can trace the cold-open burn fan without an echo force or random explosion.","Tragic recognition of an affectionate practical mistake.","revealed","SP-07|SP-08","PAY-07","Exact spread distance and simulation behaviour require target-version testing."
"INF-07","How can a complete crying-obsidian frame behave differently?","The observed frame already connects realities and ignores ordinary reverse travel.","Its behaviour may be uncontrollable.","The protagonist has verified only the unanchored next-echo rule.","SC-06;SC-11","The Atlas proposes that a full frame keyed by direct respawn-anchor discharge reaches the traveller's first threshold.","The final build will test the method under lethal uncertainty.","Qualified hope and concern.","revealed","SP-05|SP-10","PAY-05","The story labels this rule as invented rather than vanilla Minecraft."
"INF-08","Why is the protagonist away when the rug catches fire?","He has been collecting portal materials gradually while living with Moss.","A final journey may complete the Atlas method.","He believes Moss is safer sitting at home than travelling through the hazardous supply route.","SC-09","The final run supplies the crying obsidian and glowstone dropped in the cold open and leaves Moss beside the vulnerable rug.","Those same materials can now drive an immediate grief response.","Foreboding grounded in a responsible-looking choice.","revealed","SP-08|SP-09","PAY-09","The route and loaded-area behaviour remain production questions."
"INF-09","What causes the final explosion and death?","The Atlas shows a charged anchor, direct-hand keying and a torn blast-distance page.","The protagonist may construct enough protection to survive and cross.","He knows the activation is dangerous but lacks the final safety measurement.","SC-12","His direct discharge produces the explosion, kills him and wakes the fictional portal field after his death.","The audience expects the active frame to reveal a destination without carrying him through.","Shock followed by tragic mechanical satisfaction.","revealed","SP-09|SP-10","PAY-10","Candidate anchor behaviour requires verification; crying-frame activation remains explicit invention."
"INF-10","Who made the initial portal, and where does the final frame lead?","The R0 mouth has no local builder and the opening surface scene appears to precede all portal events.","The protagonist may build a similar gate without proving it is the same connection.","He believes the full frame will seek his first threshold but cannot observe its result before death.","SC-11;SC-13","The protagonist materially builds the R4 frame, and the camera emerges into the exact R0 arrival above its projected receiving mouth.","The earlier pair will descend, enter and begin the same one-way journey.","Mystery resolution, tenderness and loop recognition.","revealed","SP-02|SP-05|SP-12","PAY-12","Nobody built the frame locally in R0; its constructed source is the connected R4 frame."
