asset_id,asset,type,source_or_owner,licence,version,needed_for,status,notes
SW-001,Minecraft Java Edition,game,Mojang Studios,Proprietary,1.20.1,"Base production and world generation",candidate,"Use the same game version for every echo and every capture machine."
SW-002,Fabric Loader,mod_loader,FabricMC,Apache-2.0,"TBD: pin during clean-profile test","Loading the candidate mod stack",research_candidate,"Record the exact loader build after the first successful launch; disable automatic updates after validation."
MOD-001,Immersive Portals,mod,"qouteall; official release page in SRC-011",Apache-2.0,"5.2.0-mc1.20.1-fabric","See-through portal rendering; seamless crossing; exact cross-dimension destination",research_candidate,"Do not mark installed or approved until the downloaded jar filename and hash are recorded and the R0-to-R1 test passes."
MOD-002,Multiworld,mod,"IsaiahMC; official repository and release pages in SRC-005 and SRC-006",LGPL-3.0-or-later,1.12,"Separate R0-R4 overworld-like worlds with explicit seeds",research_candidate,"Fabric beta supporting 1.20.1. Compatibility with Immersive Portals is unverified."
MOD-003,Dimensional Weather,mod,"crafter312; official pages in SRC-007 and SRC-008",MIT,1.1-1.20.1,"Independent dry and rainy weather states across echo worlds",research_candidate,"Portal-view rain, lighting and ambience remain unverified."
DEP-001,Fabric API,library,FabricMC,Apache-2.0,"TBD: compatible Minecraft 1.20.1 release","Required library for candidate Fabric mods",dependency_pending,"Resolve through the official release metadata during installation; record exact jar and hash."
DEP-002,iCommon API,library,Isaiah,"LGPL-3.0 AND Unlicense","TBD: compatible Minecraft 1.20.1 release","Required library for Multiworld",dependency_pending,"Resolve through the Multiworld release metadata during installation; record exact jar and hash."
WORLD-000,Echo master world,world_asset,Luan,Owned,"Minecraft 1.20.1; seed TBD","Canonical clean terrain source for R0-R4",not_created,"Verify the hero ravine and coordinates, then preserve an untouched backup before duplication."
WORLD-R0,R0 clearing world,world_asset,Luan,Owned,"Derived from WORLD-000","Dry first-threshold reality",not_created,"No echo-specific modification before master verification."
WORLD-R1,R1 rain echo world,world_asset,Luan,Owned,"Derived from WORLD-000","Rain echo with water and dense growth",not_created,"Independent weather must be validated through the portal."
WORLD-R2,R2 ash echo world,world_asset,Luan,Owned,"Derived from WORLD-000","Scorched and ash-altered echo",not_created,"Art-direct after portal proof of concept."
WORLD-R3,R3 archive echo world,world_asset,Luan,Owned,"Derived from WORLD-000","Archive recess and Atlas location",not_created,"Art-direct after portal proof of concept."
WORLD-R4,R4 home echo world,world_asset,Luan,Owned,"Derived from WORLD-000","Homestead, fire and completed frame reality",not_created,"Preserve pre-fire and post-fire backups as separate milestones."
