component_id,category,candidate,exact_version,minecraft_version,loader,purpose,official_source,licence,compatibility_status,decision,fallback,notes
TC-001,game,Minecraft Java Edition,1.20.1,1.20.1,not applicable,Current production baseline,https://www.minecraft.net/,Proprietary,user profile target; launch evidence not retained,selected_baseline,Remain on current profile,PollyMC instance supplied by user.
TC-002,loader,Fabric Loader,not recorded,1.20.1,Fabric,Load current profile,https://fabricmc.net/,Apache-2.0,present by profile inference only; exact release absent,record_before_proof,Recreate copied profile with exact loader,Do not claim an exact loader until launcher metadata is recorded.
TC-003,api,Fabric API,0.92.11+1.20.1,1.20.1,Fabric,Shared mod API,user-supplied mods directory; official project https://modrinth.com/mod/fabric-api,Apache-2.0,exact file user-reported; integrated stack untested,current_candidate,Pin hash and reduce profile if needed,Filename: fabric-api-0.92.11+1.20.1.jar.
TC-004,portal_dimensions,Immersive Portals,5.2.0,1.20.1,Fabric,"See-through portals, exact destinations and bundled dimension management",https://qouteall.fun/immptl/wiki/Commands-Reference.html,Apache-2.0,exact file user-reported; custom-dimension persistence and stack untested,first_bridge_candidate,Matched destination plates or shot-specific portal states,Older 3.4.0 artefact remains disabled.
TC-005,dimension_registration,Immersive Portals bundled /dims commands,bundled with selected portal artefact,1.20.1,Fabric,Create R1-R4 dimension IDs inside the filming master,https://qouteall.fun/immptl/wiki/Dimension-Management.html,Covered by selected mod distribution,documented command capability; save-specific behaviour untested,first_dimension_candidate,Static project datapack dimension definitions,"/dims clone_dimension clones generator/type, not existing blocks."
TC-006,world_authoring,Duplicated R0 working saves and zero-offset terrain transfer,workflow,1.20.1,not applicable,Scout/adapt R0 once; edit R1-R4 independently; consolidate for filming,https://github.com/FTBTeam/FTB-Team-Dimensions,Original project files owned; third-party map rights separate,implementation precedent documented; this save transfer untested,selected_world_method,Matched hero shells or composites,region required; entities/poi conditional.
TC-007,weather,Dimensional Weather,1.1-1.20.1,1.20.1,Fabric,Keep R0 dry while R1 rains at common fixed time,https://modrinth.com/mod/dimensional-weather/version/1.1-1.20.1,MIT,exact file user-reported; portal/custom-dimension rendering untested,first_weather_candidate,Composite rainy R1 plate,Requires weather-capable dimension type.
TC-008,pregeneration,Chunky,1.3.146,1.20.1 profile,Fabric candidate,Pregenerate all camera-visible chunks before duplication,https://github.com/pop4959/Chunky/wiki/Pregeneration,not re-recorded,exact file user-reported; production radius unselected,selected_pregeneration_tool,Manual controlled exploration,"Use shot footprint plus buffer, not a continent."
TC-009,chunk_transfer,MCA Selector,exact release not selected,Java Edition worlds,external Java tool,Export/import selected chunks and inspect region/entities/poi,https://github.com/Querz/mcaselector,MIT shown by repository,official capability documented; no local installation/test,conditional_transfer_tool,Full-folder replacement,Always work on backups; offsets remain zero.
TC-010,world_edit,WorldEdit,7.2.15 candidate,1.20/1.20.1,Fabric,"Import ravines/forests, blend terrain, brushes and schematics",https://www.curseforge.com/minecraft/mc-mods/worldedit/files/all?version=1.20.1,GPL-3.0-or-later,official 1.20.1 candidate; not installed or tested,recommended_if_needed,MCA Selector plus manual Creative editing,Do not install unless R0 adaptation needs it.
TC-011,world_edit_alternative,Axiom,5.2.1,1.20-1.20.1,Fabric,Manual terrain/build editing and repair,https://modrinth.com/mod/axiom/version/5.2.1,not recorded,documented candidate; not present in supplied directory,optional_alternative,WorldEdit/manual editing,Use one editor at a time.
TC-012,replay_camera,Replay Mod,2.6.23,1.20.1,Fabric,Record performances and author later camera paths,https://www.replaymod.com/,not recorded,exact file user-reported; portal/dimension recording untested,first_camera_candidate,OBS locked gameplay or matched plates,Test after world transfer and weather.
TC-013,performance,Sodium,0.5.13,1.20.1,Fabric,Current renderer optimisation,https://modrinth.com/mod/sodium,LGPL-3.0,exact file user-reported; complete intersection untested,test_after_bridge,Remove for minimum diagnostic profile,No-shader baseline first.
TC-014,rendering_compatibility,Indium,1.0.36,1.20.1,Fabric,Rendering API compatibility,https://modrinth.com/mod/indium,not recorded,exact file user-reported; integrated behaviour untested,test_with_current_renderer,Remove if unnecessary in reduced profile,Add after minimum portal proof.
TC-015,shader,Iris,1.7.6,1.20.1,Fabric,Shader loading for selected visual passes,https://modrinth.com/mod/iris,LGPL-3.0,exact file user-reported; shader and portal stack untested,optional_test_last,Vanilla lighting and post grade,Kappa/Rethinking Voxels/path-traced hero shots remain separate visual research decisions.
TC-016,worldgen,Tectonic,3.0.17,1.20.1,Fabric,Large-scale terrain used during seed scouting,user-supplied mods directory; official project not re-recorded,not recorded,exact file user-reported; configs unrecorded,freeze_for_R0,Use existing generated candidate world,Changing it after R0 generation invalidates unseen continuity.
TC-017,worldgen,William Wythers Overhauled Overworld,2.0.0,1.20.1,Fabric/Forge/Quilt artefact,Biome/world-generation character during scouting,user-supplied mods directory; official project not re-recorded,not recorded,exact file user-reported; configs unrecorded,freeze_for_R0,Use existing generated candidate world,Do not rely on custom-dimension unseen generation.
TC-018,season,Fabric Seasons plus Extras,2.4.2 BETA + 1.3.2 BETA,1.20.x,Fabric,Optional minor R4/R0 seasonal distinction,user-supplied mods directory,not recorded,exact files user-reported; persistence/portal/replay untested,optional_R4_difference,Local block/vegetation dressing and grade,R4 remains geographically the closest R0 derivative.
TC-019,control,Project datapack plus vanilla commands,not created,1.20.1,Fabric/vanilla,"Take setup, fixed rules, actors and optional static dimension definitions",original project asset,Owned after creation,design only,required_later,Manual protected states and separate plates,Custom mod remains deferred.
TC-020,recording,OBS isolated-pass workflow,exact version not recorded,runtime independent,not applicable,Record isolated Minecraft picture/audio passes,https://obsproject.com/,GPL-2.0-or-later,method selected; exact version/encoder/output untested,selected_recording_method,Replay renderer or other captured plates,Record settings only after a playable test exists.
TC-021,compositing,Blender or conventional compositor,not selected,not applicable,not applicable,"Portal plates, camera match, depth masks and Scene 13 modules",official source not yet recorded,not recorded,workflow category only,conditional_fallback,Locked 2D masks and matched dissolves,Creator already has Blender skill; exact bridge remains research.
TC-022,world_method_alternative,Multiworld plus iCommon,1.12 beta; dependency unpinned,1.20.1,Fabric,Historical separate-world candidate,https://modrinth.com/mod/multiworld/version/NfNQTHy9,LGPL-3.0-or-later,not installed and unnecessary for selected workflow,not_selected,TC-005 and TC-006,Retained only as research history.
