shot_id,beat,location,framing,camera_move,action,dialogue_or_vo,duration_seconds,capture_method,assets,status
S01-001,Smoke before the house,R4 ridge,Wide rear three-quarter,Slow settle,Protagonist crests the ridge with crying obsidian and glowstone then sees smoke,None,6,Controlled gameplay with separate smoke plate,R4 ridge; protagonist kit; cargo; smoke,planned
S01-002,MATCH PATH emergency run,R4 path,Locked wide,Static,He drops the cargo and runs towards the burning homestead,None,12,Locked gameplay plate,MATCH PATH reference; fire state,continuity_lock_required
S02-001,Matched lone arrival,R0 clearing,Locked wide,Static,The emergency motion cuts to the lone protagonist walking into the untouched clearing,Title and morning ambience,15,Matched R0 plate,MATCH PATH reference; early kit,continuity_lock_required
S02-002,Choice of clearing,R0 overlook,Wide environmental,Slow observational drift,He lowers his pack watches the landscape and chooses to remain,Provisional clearing narration,25,Controlled performance,R0 clearing; pack; clean journal,planned
S02-003,Survival and wolf intervention,R0 shelter and birches,Medium action montage,Short controlled moves,He builds basic shelter and survives mobs before a wild wolf attacks the skeleton,Skeleton danger narration,50,Separate controlled mob plates,Early tools; skeleton; wild wolf,test_required
S02-004,Taming and naming chain,R0 birches fishing bank and shelter,Medium and inserts,Locked fragments,He offers skeleton bones then later fishes a name tag labels it MOSS on an anvil and applies it,Provisional family narration,70,Controlled action and readable inserts,Bones; fishing rod; name tag; anvil; wolf states,test_required
S02-005,MATCH FRAME A,R0 ravine overlook,Locked hero wide,Static then restrained follow,The named Moss takes his mark and the pair begin an ordinary mining descent,Below the hill was only another day's work. They went together.,10,Locked plate with one reusable narration master,MATCH FRAME A; established kit; named Moss,audio_lock_required
S03-001,Ordinary mining descent,R0 ravine,Wide to medium,Descending follow,Water and block placements lead to the seam before exposed iron continues beyond it,Mining water and paws,24,Controlled gameplay,Water bucket; blocks; journal; iron,continuity_lock_required
S03-002,Crying-frame reveal,R0 portal chamber,Reveal wide,Slow corner reveal,The complete crying frame first becomes visible beyond the iron turn,Portal texture starts only after reveal,22,Live portal test or composite,Crying frame; particles,poc_required
S03-003,Parallax and first crossing,R0 to R1 portal,Medium lateral then follow,Lateral track and threshold move,The rainy destination shifts with parallax before the protagonist and Moss cross together,Discovery narration and rain transition,35,Live portal test or concealed composite,R1 rain plate; Moss,poc_required
S04-001,Rain arrival,R1 granite seam,Matched medium,Continuation move,They finish the crossing beside the identical seam as rainwater enters the cave,Rain and portal bed,18,Matched destination plate,R1 seam; waterfall; Moss,continuity_lock_required
S04-002,Missing home,R1 surface,Wide environmental,Exploratory track,The recognisable ravine lacks the shelter crops pen and marked paths,Missing-house narration,32,Controlled world plate,R1 vegetation; water paths,planned
S04-003,False return and first mark,R1 frame foot,Over-shoulder and close-up,Slow push then static,He reads dry stone as a return and places one cobblestone block at the left foot,Return narration,24,Portal plate and locked marker insert,R1 marker; journal,poc_required
S05-001,First missing marker,R2 frame foot,Exact close-up,Static,The protagonist turns and finds the R1 block absent,The rain was behind him. Home was not.,15,Matched locked plate,R2 bare frame foot,continuity_lock_required
S05-002,Deliberate L marker,R2 portal approach,Medium and insert,Static,He builds a two-block L adds an outer torch and records the arrangement,None,25,Controlled gameplay,L marker; torch; journal,continuity_lock_required
S05-003,Second absence and echoes,R3 frame foot and journal,Exact close-up then inserts,Static,The matching foot is bare before he compares records and writes ECHOES,Once could be loss. Twice was a rule.,35,Matched plate and controlled inserts,R3 frame foot; marker drawings,continuity_lock_required
S06-001,Familiar archive habits,R3 archive recess,Wide with details,Slow survey,Torch placement storage and the carved ravine symbol resemble his habits,None,18,Controlled set plate,Archive recess; desk,planned
S06-002,Atlas evidence,R3 desk,Readable hero inserts,Locked holds,The paired journals and seven scripted Atlas instructions organise the observed rules,Atlas narration cues,60,Prop or graphic inserts,Clean journal; Weeping Atlas,graphics_test_required
S06-003,Mouth failure and forced crossing,R3 portal and stair,Wide action,Controlled effects then threshold move,The view contracts gravel blocks the stair and the protagonist takes both journals through with Moss,The cave allowed only forwards,37,Separate failure gravel and crossing plates,Failing portal; gravel; journals; Moss,poc_required
S07-001,R4 arrival and collapse,R4 ravine,Matched medium then wide,Continuation and static hold,They arrive in a dry echo before projected blocks fade without an explosion,Birds and soft collapse,30,Matched plate and VFX,R4 ravine; incomplete mouth,vfx_test_required
S07-002,Fire test and first roof,R4 mouth and surface,Medium to wide,Static then slow rise,Ordinary fire fails and the protagonist marks the surface then starts a shelter,He could build a roof,40,Controlled gameplay,Fire source; marker; shelter modules,test_required
S08-001,Homestead growth,R4 homestead,Repeated wide,Locked montage,The first shelter becomes a compact lived home,Work-sound theme,35,State-based build plates,Homestead modules,planned
S08-002,Shared routines,R4 bridge and build areas,Medium montage,Short follows,Moss occupies blocks waits for safety follows and receives food,The block could wait,32,Controlled Moss performances,Moss; bridge; food,test_required
S08-003,Hearth and growing rug,R4 shared room,Locked domestic wide,Static repeated composition,The stone hearth and moss-green rug grow around Moss one square at a time,Rug narration cue,40,Separate rug-state plates,Fireplace; rug states; Moss,test_required
S08-004,Slow route preparation,R4 desk ravine and conventional portal,Insert montage,Matched fragments,Journals fill while small material loads return and the camp becomes home,Camp and way-out narration,43,Controlled inserts and travel plates,Atlas; ledger; conventional portal; materials,planned
S09-001,Final material ledger,R4 desk,Insert and medium,Static,The protagonist marks the final entries and packs for the last supply trip,One journey remained,15,Controlled insert,Ledger; supply kit,graphics_test_required
S09-002,Feed sit and bark,R4 conventional gate and shared room,Medium two-shot,Measured follow,He feeds Moss returns him to the rug asks twice and receives one bark,Routine narration,27,Controlled Moss performance with isolated audio,Moss; food; rug; bark master,audio_lock_required
S09-003,Departure and first flame,R4 shared room,Locked wide,Static hold,The ordinary portal fades from hearing before fire catches the nearest green square,None,23,Separate room and fire-origin plates,Fire path; rug; timber,test_required
S10-001,MATCH PATH resumed,R4 path,Locked wide,Static,The Scene 1 run continues exactly towards the burning house,Wind footsteps and fire,15,Continuation plate,MATCH PATH; fire state,continuity_lock_required
S10-002,Blocked rescue route,R4 shared-room doorway,Medium action,Static with impacts,Water and steam fail when burning timber blocks the direct route,None,28,Separate water steam and timber plates,Water; fire; timber,vfx_test_required
S10-003,Empty room and burn fan,R4 burned shared room,Hero wide and details,Slow settle,He breaks the shortest wall and finds the room empty with the rug gone and a charred fan remaining,The stone kept its shape. The place beside it did not.,35,Locked burned-state plate,Fireplace; burn fan; removable wall,continuity_lock_required
S10-004,Search and first-threshold choice,R4 search routes and ruins,Montage then hero insert,Short moves and static hold,He searches until dawn then retrieves the cargo and Atlas and closes the unfinished safety page,Search and first-threshold narration,67,Controlled route plates and inserts,Search modules; Moss food; cargo; Atlas,planned
S11-001,Creeper route plant,R4 ravine descent,Brief first person,Descending move,A muted green edge withdraws from the extreme side of frame without reaction,None,8,Controlled creeper plate,Creeper; dark ledge,test_required
S11-002,Frame completion,R4 final chamber,Labour montage,Locked fragments,The granite seam leads to the failed mouth and each missing crying block is placed,Ordinary labour narration,35,State-based construction plates,Crying obsidian; frame reference,continuity_lock_required
S11-003,Anchor and topology,R4 final chamber,Medium and Atlas insert,Static,He charges the anchor while the dark frame and keyed and unkeyed arrows are shown,Keyed route narration,25,Controlled state and graphic insert,Anchor; glowstone; Atlas,graphics_test_required
S11-004,Baffle and ready position,R4 final chamber,Wide and medium,Measured lateral move,He builds reachable cover stores both journals and raises flint and steel without igniting,Reach and torn-page narration,32,Controlled construction and blocking,Baffle; journals; flint and steel,test_required
S12-001,Remembered bark and choice,R4 final chamber,Locked medium,Static,He touches the Atlas wolf figure closes the book and steps into reach,Exact Scene 9 bark reused as memory,15,Locked performance and audio reuse,Atlas; bark master,audio_lock_required
S12-002,Interrupted ignition,R4 final chamber,Rear medium,Static,He raises flint and steel before the creeper lands behind him and hisses,None,10,Separate protagonist creeper and sound plates,Flint and steel; creeper,test_required
S12-003,Fatal blast,Black frame,Black,Editorial cut,The cut reaches black before the creeper explosion kills the protagonist,Landing hiss explosion and silence,8,Editorial audio construction,Explosion source pending rights,vfx_test_required
S12-004,Aftermath and flash,R4 final chamber,Locked exterior plate,Static,Smoke reveals a standing frame with no protagonist before the charged anchor flashes once,None,12,Separate smoke item and aftermath plates,Frame; baffle; item scatter; smoke,vfx_test_required
S12-005,Delayed activation,R4 active frame,Locked hero wide,Static,Particles begin and purple light gradually resolves into the R0 cave,Portal texture returns late,15,Layered plates and invented-canon VFX,Particles; R0 cave view,vfx_test_required
S13-001,Omniscient approach,R4 final chamber,Wide to medium,Slow push,The camera remains after death and approaches the active frame,Portal texture,10,Free-camera or controlled plate,Active R4 frame,poc_required
S13-002,Frame crossing and ascent,R4 to R0 transition,Audience move,Forward move and matched rises,The camera crosses past the seam and rises through stylised stone and soil,None,22,Portal plate and modular composites,Seam; vertical modules,vfx_test_required
S13-003,MATCH FRAME A repeated,R0 overlook,Exact locked hero wide,Static,The established protagonist tightens his pack and named Moss takes the same mark,Below the hill was only another day's work. They went together.,15,Exact image match and identical narration master,MATCH FRAME A; narration master,audio_lock_required
S13-004,Descent and waiting mouth,R0 overlook and cave,Wide then locked underground,Restrained follow then static,The pair begin their descent before the active mouth and rainy R1 view are revealed,None,8,Matched continuation and portal plate,R0 frame; R1 rain view,poc_required
